Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí)
2022-08-14,5,0
2022-08-21,5,0
2022-08-28,5,1
2022-09-04,4,0
2022-09-11,3,0
2022-09-18,3,0
2022-09-25,4,0
2022-10-02,5,0
2022-10-09,3,0
2022-10-16,4,0
2022-10-23,4,0
2022-10-30,5,0
2022-11-06,4,0
2022-11-13,5,0
2022-11-20,4,0
2022-11-27,3,0
2022-12-04,4,0
2022-12-11,5,0
2022-12-18,4,0
2022-12-25,4,0
2023-01-01,5,2
2023-01-08,5,2
2023-01-15,6,2
2023-01-22,6,1
2023-01-29,8,2
2023-02-05,7,2
2023-02-12,9,3
2023-02-19,11,3
2023-02-26,13,4
2023-03-05,13,2
2023-03-12,14,4
2023-03-19,16,5
2023-03-26,20,6
2023-04-02,17,6
2023-04-09,20,6
2023-04-16,19,6
2023-04-23,19,5
2023-04-30,15,4
2023-05-07,18,5
2023-05-14,16,4
2023-05-21,12,3
2023-05-28,12,3
2023-06-04,8,3
2023-06-11,10,2
2023-06-18,9,3
2023-06-25,7,0
2023-07-02,8,0
2023-07-09,5,2
2023-07-16,4,0
2023-07-23,4,2
2023-07-30,4,0
2023-08-06,3,0
2023-08-13,4,0
2023-08-20,2,0
2023-08-27,4,0
2023-09-03,3,0
2023-09-10,3,0
2023-09-17,3,0
2023-09-24,2,0
2023-10-01,3,0
2023-10-08,3,0
2023-10-15,3,0
2023-10-22,3,0
2023-10-29,2,0
2023-11-05,3,0
2023-11-12,2,0
2023-11-19,3,0
2023-11-26,4,0
2023-12-03,3,0
2023-12-10,3,0
2023-12-17,3,0
2023-12-24,4,2
2023-12-31,5,0
2024-01-07,7,2
2024-01-14,5,2
2024-01-21,8,2
2024-01-28,14,3
2024-02-04,22,3
2024-02-11,30,5
2024-02-18,44,9
2024-02-25,49,10
2024-03-03,44,10
2024-03-10,51,11
2024-03-17,48,11
2024-03-24,38,9
2024-03-31,40,10
2024-04-07,39,9
2024-04-14,37,8
2024-04-21,28,5
2024-04-28,26,6
2024-05-05,47,7
2024-05-12,30,6
2024-05-19,73,13
2024-05-26,35,7
2024-06-02,31,6
2024-06-09,22,3
2024-06-16,16,3
2024-06-23,16,4
2024-06-30,10,2
2024-07-07,8,0
2024-07-14,10,4
2024-07-21,5,0
2024-07-28,6,0
2024-08-04,10,0
2024-08-11,7,0
2024-08-18,8,0
2024-08-25,6,0
2024-09-01,5,2
2024-09-08,5,0
2024-09-15,4,0
2024-09-22,3,0
2024-09-29,4,0
2024-10-06,4,0
2024-10-13,4,0
2024-10-20,4,0
2024-10-27,5,0
2024-11-03,5,0
2024-11-10,6,0
2024-11-17,4,0
2024-11-24,3,<1
2024-12-01,4,1
2024-12-08,4,<1
