Categoria: Todas as categorias

Semana,sintomas dengue: (Rio Grande do Norte),dengue: (Rio Grande do Norte),tratamento dengue: (Rio Grande do Norte)
2022-01-09,0,8,0
2022-01-16,0,8,0
2022-01-23,0,7,0
2022-01-30,0,7,0
2022-02-06,0,7,0
2022-02-13,3,5,0
2022-02-20,0,11,0
2022-02-27,3,8,0
2022-03-06,3,11,0
2022-03-13,3,16,0
2022-03-20,5,21,0
2022-03-27,10,28,0
2022-04-03,9,32,0
2022-04-10,14,43,0
2022-04-17,22,64,0
2022-04-24,25,87,0
2022-05-01,22,79,0
2022-05-08,30,83,0
2022-05-15,33,98,0
2022-05-22,31,95,0
2022-05-29,30,97,0
2022-06-05,25,90,0
2022-06-12,31,84,0
2022-06-19,22,71,0
2022-06-26,22,63,0
2022-07-03,19,60,0
2022-07-10,13,50,0
2022-07-17,12,44,0
2022-07-24,11,39,0
2022-07-31,10,35,0
2022-08-07,7,26,0
2022-08-14,10,30,0
2022-08-21,6,20,0
2022-08-28,5,19,0
2022-09-04,3,15,0
2022-09-11,3,11,0
2022-09-18,4,12,0
2022-09-25,3,11,0
2022-10-02,0,6,0
2022-10-09,3,10,0
2022-10-16,0,8,0
2022-10-23,0,5,0
2022-10-30,0,9,0
2022-11-06,0,7,0
2022-11-13,0,7,0
2022-11-20,3,9,0
2022-11-27,0,6,0
2022-12-04,0,7,0
2022-12-11,0,4,0
2022-12-18,0,5,0
2022-12-25,0,6,0
2023-01-01,0,5,0
2023-01-08,3,5,0
2023-01-15,0,7,0
2023-01-22,0,5,0
2023-01-29,0,6,0
2023-02-05,0,4,0
2023-02-12,0,5,0
2023-02-19,0,5,0
2023-02-26,0,11,0
2023-03-05,0,10,0
2023-03-12,3,10,0
2023-03-19,6,13,0
2023-03-26,4,21,0
2023-04-02,7,16,0
2023-04-09,5,19,0
2023-04-16,11,22,0
2023-04-23,6,20,0
2023-04-30,4,15,0
2023-05-07,3,13,0
2023-05-14,0,14,0
2023-05-21,0,12,0
2023-05-28,0,10,0
2023-06-04,0,10,0
2023-06-11,0,8,0
2023-06-18,0,10,0
2023-06-25,0,8,0
2023-07-02,0,11,0
2023-07-09,0,10,4
2023-07-16,0,10,0
2023-07-23,0,7,0
2023-07-30,0,4,0
2023-08-06,0,5,0
2023-08-13,0,6,0
2023-08-20,0,8,0
2023-08-27,0,0,0
2023-09-03,0,7,0
2023-09-10,0,4,0
2023-09-17,0,5,0
2023-09-24,0,6,0
2023-10-01,0,4,0
2023-10-08,0,7,0
2023-10-15,0,6,0
2023-10-22,0,6,0
2023-10-29,3,4,0
2023-11-05,0,9,0
2023-11-12,0,6,0
2023-11-19,0,4,0
2023-11-26,0,7,0
2023-12-03,0,5,0
2023-12-10,0,8,0
2023-12-17,0,7,0
2023-12-24,0,7,0
2023-12-31,0,8,0
2024-01-07,0,8,0
2024-01-14,4,12,0
2024-01-21,0,14,0
2024-01-28,5,16,0
2024-02-04,7,29,0
2024-02-11,14,50,0
2024-02-18,20,83,0
2024-02-25,21,93,0
2024-03-03,22,100,0
2024-03-10,18,86,0
2024-03-17,17,89,0
2024-03-24,14,65,0
2024-03-31,14,71,0
2024-04-07,13,66,1
2024-04-14,13,65,1
2024-04-21,13,49,0
