Categoria: Todas as categorias

Semana,sintomas dengue: (Amazonas),dengue: (Amazonas),tratamento dengue: (Amazonas)
2021-01-31,5,15,0
2021-02-07,0,14,0
2021-02-14,6,17,0
2021-02-21,8,22,0
2021-02-28,10,24,0
2021-03-07,5,13,0
2021-03-14,6,18,0
2021-03-21,0,24,0
2021-03-28,0,17,0
2021-04-04,0,19,0
2021-04-11,6,20,0
2021-04-18,6,23,0
2021-04-25,6,19,0
2021-05-02,0,20,0
2021-05-09,0,15,0
2021-05-16,0,20,0
2021-05-23,6,18,0
2021-05-30,0,13,0
2021-06-06,0,14,0
2021-06-13,0,14,0
2021-06-20,5,15,0
2021-06-27,5,10,0
2021-07-04,0,13,0
2021-07-11,0,13,0
2021-07-18,0,8,0
2021-07-25,0,9,0
2021-08-01,0,11,0
2021-08-08,0,9,0
2021-08-15,0,15,0
2021-08-22,0,8,0
2021-08-29,0,10,0
2021-09-05,0,9,0
2021-09-12,0,9,0
2021-09-19,0,7,0
2021-09-26,0,9,0
2021-10-03,0,5,0
2021-10-10,0,0,0
2021-10-17,0,5,0
2021-10-24,0,5,0
2021-10-31,0,0,0
2021-11-07,0,6,0
2021-11-14,0,7,0
2021-11-21,0,8,0
2021-11-28,0,7,0
2021-12-05,0,7,0
2021-12-12,0,9,0
2021-12-19,0,8,0
2021-12-26,0,0,0
2022-01-02,0,9,0
2022-01-09,0,13,0
2022-01-16,0,8,0
2022-01-23,0,10,0
2022-01-30,0,7,0
2022-02-06,0,7,0
2022-02-13,3,11,0
2022-02-20,5,12,0
2022-02-27,0,10,0
2022-03-06,0,10,0
2022-03-13,0,15,0
2022-03-20,6,18,0
2022-03-27,0,14,0
2022-04-03,3,15,0
2022-04-10,4,15,0
2022-04-17,4,16,0
2022-04-24,0,15,0
2022-05-01,4,15,0
2022-05-08,0,16,0
2022-05-15,5,18,0
2022-05-22,4,19,0
2022-05-29,5,16,0
2022-06-05,0,15,0
2022-06-12,0,15,0
2022-06-19,0,10,0
2022-06-26,0,6,0
2022-07-03,0,9,0
2022-07-10,0,6,0
2022-07-17,0,12,0
2022-07-24,0,11,0
2022-07-31,0,10,0
2022-08-07,0,9,0
2022-08-14,0,11,0
2022-08-21,0,8,0
2022-08-28,0,6,0
2022-09-04,0,6,0
2022-09-11,0,6,0
2022-09-18,0,8,0
2022-09-25,0,7,0
2022-10-02,0,5,0
2022-10-09,0,8,0
2022-10-16,0,10,0
2022-10-23,0,9,0
2022-10-30,0,8,0
2022-11-06,0,13,0
2022-11-13,0,7,0
2022-11-20,0,11,0
2022-11-27,0,12,0
2022-12-04,0,9,0
2022-12-11,0,10,0
2022-12-18,0,7,0
2022-12-25,0,9,0
2023-01-01,4,9,0
2023-01-08,0,5,0
2023-01-15,0,10,0
2023-01-22,0,6,0
2023-01-29,4,9,0
2023-02-05,0,13,0
2023-02-12,0,16,0
2023-02-19,0,17,0
2023-02-26,3,16,0
2023-03-05,0,16,0
2023-03-12,6,15,0
2023-03-19,0,17,0
2023-03-26,4,18,0
2023-04-02,0,12,0
2023-04-09,4,17,0
2023-04-16,5,15,0
2023-04-23,3,14,0
2023-04-30,4,13,0
2023-05-07,6,18,0
2023-05-14,5,17,0
2023-05-21,4,17,0
2023-05-28,0,12,0
2023-06-04,0,11,0
2023-06-11,0,9,0
2023-06-18,0,10,0
2023-06-25,4,9,0
2023-07-02,0,12,0
2023-07-09,0,11,0
2023-07-16,0,7,0
2023-07-23,0,7,0
2023-07-30,0,8,0
2023-08-06,0,10,0
2023-08-13,0,8,0
2023-08-20,0,7,0
2023-08-27,0,8,0
2023-09-03,4,0,0
2023-09-10,0,6,0
2023-09-17,0,10,0
2023-09-24,0,9,0
2023-10-01,0,9,0
2023-10-08,0,5,0
2023-10-15,0,6,0
2023-10-22,0,8,0
2023-10-29,0,7,0
2023-11-05,0,5,0
2023-11-12,0,10,0
2023-11-19,0,9,0
2023-11-26,0,10,0
2023-12-03,6,13,0
2023-12-10,0,18,0
2023-12-17,11,27,0
2023-12-24,18,54,0
2023-12-31,27,87,0
2024-01-07,21,83,0
2024-01-14,26,91,0
2024-01-21,22,85,5
2024-01-28,17,63,0
2024-02-04,21,73,0
2024-02-11,21,74,0
2024-02-18,21,100,0
2024-02-25,18,91,0
2024-03-03,16,80,0
2024-03-10,18,66,5
2024-03-17,15,60,0
2024-03-24,10,45,0
2024-03-31,13,44,0
2024-04-07,8,40,1
2024-04-14,8,43,1
2024-04-21,9,30,1
