Categoria: Todas as categorias

Semana,sintomas dengue: (Rio Grande do Sul),dengue: (Rio Grande do Sul),tratamento dengue: (Rio Grande do Sul)
2021-02-07,1,4,0
2021-02-14,1,4,0
2021-02-21,1,4,0
2021-02-28,1,4,0
2021-03-07,1,4,0
2021-03-14,1,4,0
2021-03-21,2,5,0
2021-03-28,2,7,0
2021-04-04,3,10,0
2021-04-11,3,11,0
2021-04-18,3,10,0
2021-04-25,2,9,0
2021-05-02,2,8,0
2021-05-09,2,7,0
2021-05-16,1,6,0
2021-05-23,1,5,0
2021-05-30,0,4,0
2021-06-06,1,4,0
2021-06-13,1,2,0
2021-06-20,0,2,0
2021-06-27,0,2,0
2021-07-04,0,2,0
2021-07-11,1,2,0
2021-07-18,0,1,0
2021-07-25,0,1,0
2021-08-01,0,1,0
2021-08-08,0,2,0
2021-08-15,0,1,0
2021-08-22,0,2,0
2021-08-29,0,1,0
2021-09-05,0,1,0
2021-09-12,0,2,0
2021-09-19,0,1,0
2021-09-26,1,2,0
2021-10-03,0,2,0
2021-10-10,0,1,0
2021-10-17,0,2,0
2021-10-24,0,1,0
2021-10-31,0,2,0
2021-11-07,0,2,0
2021-11-14,0,1,0
2021-11-21,0,1,0
2021-11-28,0,2,0
2021-12-05,0,1,0
2021-12-12,0,1,0
2021-12-19,0,1,0
2021-12-26,0,2,0
2022-01-02,1,3,0
2022-01-09,1,3,0
2022-01-16,1,4,0
2022-01-23,1,2,0
2022-01-30,1,3,0
2022-02-06,1,3,0
2022-02-13,1,3,0
2022-02-20,1,4,0
2022-02-27,3,7,0
2022-03-06,5,13,0
2022-03-13,8,25,1
2022-03-20,14,41,1
2022-03-27,15,45,1
2022-04-03,16,49,2
2022-04-10,18,50,1
2022-04-17,28,66,2
2022-04-24,27,70,2
2022-05-01,21,54,1
2022-05-08,22,55,2
2022-05-15,15,38,1
2022-05-22,15,35,1
2022-05-29,9,20,1
2022-06-05,7,17,0
2022-06-12,5,11,0
2022-06-19,4,10,0
2022-06-26,3,8,0
2022-07-03,3,7,0
2022-07-10,3,7,0
2022-07-17,2,5,0
2022-07-24,2,5,0
2022-07-31,2,4,0
2022-08-07,1,3,0
2022-08-14,1,3,0
2022-08-21,1,4,0
2022-08-28,1,3,0
2022-09-04,<1,3,0
2022-09-11,1,2,0
2022-09-18,1,3,0
2022-09-25,1,3,1
2022-10-02,1,3,0
2022-10-09,1,2,0
2022-10-16,1,3,<1
2022-10-23,1,3,0
2022-10-30,1,2,0
2022-11-06,1,3,0
2022-11-13,1,4,0
2022-11-20,1,4,0
2022-11-27,1,3,0
2022-12-04,1,3,0
2022-12-11,1,3,0
2022-12-18,2,3,0
2022-12-25,3,5,0
2023-01-01,1,4,0
2023-01-08,1,4,0
2023-01-15,1,4,0
2023-01-22,2,4,0
2023-01-29,1,3,0
2023-02-05,2,4,0
2023-02-12,2,5,0
2023-02-19,2,5,0
2023-02-26,3,8,0
2023-03-05,4,11,0
2023-03-12,6,14,1
2023-03-19,7,17,<1
2023-03-26,9,23,1
2023-04-02,10,26,1
2023-04-09,12,30,1
2023-04-16,12,30,1
2023-04-23,15,38,1
2023-04-30,14,34,1
2023-05-07,12,31,1
2023-05-14,15,37,1
2023-05-21,15,36,1
2023-05-28,9,24,1
2023-06-04,8,19,0
2023-06-11,4,11,0
2023-06-18,3,10,1
2023-06-25,3,10,0
2023-07-02,4,12,0
2023-07-09,2,6,0
2023-07-16,2,4,0
2023-07-23,2,4,0
2023-07-30,1,5,0
2023-08-06,1,3,0
2023-08-13,1,3,0
2023-08-20,1,4,0
2023-08-27,1,3,0
2023-09-03,1,2,0
2023-09-10,1,3,0
2023-09-17,1,3,0
2023-09-24,1,3,0
2023-10-01,1,3,0
2023-10-08,1,3,0
2023-10-15,1,4,0
2023-10-22,1,3,0
2023-10-29,1,3,0
2023-11-05,1,4,0
2023-11-12,1,4,0
2023-11-19,1,4,0
2023-11-26,1,6,0
2023-12-03,1,4,0
2023-12-10,1,4,0
2023-12-17,1,4,0
2023-12-24,2,5,0
2023-12-31,2,6,0
2024-01-07,2,7,0
2024-01-14,3,8,0
2024-01-21,4,14,0
2024-01-28,5,20,0
2024-02-04,13,56,1
2024-02-11,16,53,1
2024-02-18,25,87,1
2024-02-25,26,100,1
2024-03-03,28,87,1
2024-03-10,30,96,1
2024-03-17,24,94,2
2024-03-24,24,91,0
2024-03-31,25,98,1
2024-04-07,24,97,1
2024-04-14,22,91,1
2024-04-21,23,95,1
