Categoria: Todas as categorias

Semana,sintomas dengue: (Ceará),dengue: (Ceará),tratamento dengue: (Ceará)
2020-11-08,0,7,0
2020-11-15,0,7,0
2020-11-22,0,5,0
2020-11-29,0,5,0
2020-12-06,2,8,0
2020-12-13,2,7,0
2020-12-20,0,2,0
2020-12-27,0,6,0
2021-01-03,2,6,0
2021-01-10,2,5,0
2021-01-17,0,6,0
2021-01-24,3,6,0
2021-01-31,2,11,0
2021-02-07,2,11,0
2021-02-14,3,10,0
2021-02-21,3,13,0
2021-02-28,4,15,0
2021-03-07,4,20,0
2021-03-14,4,19,0
2021-03-21,6,23,0
2021-03-28,8,21,0
2021-04-04,6,27,0
2021-04-11,6,27,0
2021-04-18,8,29,0
2021-04-25,9,30,0
2021-05-02,7,28,0
2021-05-09,10,36,2
2021-05-16,13,45,0
2021-05-23,11,48,0
2021-05-30,13,44,0
2021-06-06,12,43,2
2021-06-13,11,42,2
2021-06-20,12,37,0
2021-06-27,8,33,2
2021-07-04,9,33,2
2021-07-11,7,26,0
2021-07-18,6,25,0
2021-07-25,6,21,0
2021-08-01,5,19,0
2021-08-08,5,19,0
2021-08-15,5,20,0
2021-08-22,3,15,0
2021-08-29,4,15,0
2021-09-05,2,10,0
2021-09-12,3,11,0
2021-09-19,3,14,0
2021-09-26,2,9,0
2021-10-03,0,12,0
2021-10-10,2,7,0
2021-10-17,2,7,0
2021-10-24,0,5,0
2021-10-31,0,4,0
2021-11-07,0,7,0
2021-11-14,0,7,0
2021-11-21,0,6,0
2021-11-28,0,6,0
2021-12-05,2,5,0
2021-12-12,3,8,0
2021-12-19,0,6,0
2021-12-26,3,8,0
2022-01-02,0,12,0
2022-01-09,5,15,0
2022-01-16,7,16,0
2022-01-23,3,12,0
2022-01-30,3,16,0
2022-02-06,4,16,0
2022-02-13,4,20,0
2022-02-20,4,19,0
2022-02-27,6,21,0
2022-03-06,5,26,0
2022-03-13,7,25,0
2022-03-20,8,31,0
2022-03-27,9,33,1
2022-04-03,10,35,0
2022-04-10,10,33,0
2022-04-17,15,47,0
2022-04-24,15,53,1
2022-05-01,15,55,0
2022-05-08,14,55,1
2022-05-15,17,54,2
2022-05-22,16,52,0
2022-05-29,17,58,0
2022-06-05,15,52,0
2022-06-12,17,53,2
2022-06-19,17,49,0
2022-06-26,14,45,0
2022-07-03,13,40,0
2022-07-10,10,33,1
2022-07-17,6,26,0
2022-07-24,8,25,0
2022-07-31,6,25,0
2022-08-07,5,18,0
2022-08-14,3,16,0
2022-08-21,3,16,0
2022-08-28,5,15,0
2022-09-04,3,13,0
2022-09-11,3,14,0
2022-09-18,3,10,0
2022-09-25,4,10,0
2022-10-02,2,8,0
2022-10-09,2,9,0
2022-10-16,3,9,0
2022-10-23,2,8,0
2022-10-30,2,7,0
2022-11-06,2,8,0
2022-11-13,2,8,0
2022-11-20,3,9,0
2022-11-27,2,6,0
2022-12-04,3,8,0
2022-12-11,0,7,0
2022-12-18,0,4,0
2022-12-25,2,6,0
2023-01-01,3,6,0
2023-01-08,0,5,0
2023-01-15,0,7,0
2023-01-22,2,8,0
2023-01-29,3,9,0
2023-02-05,3,12,0
2023-02-12,3,13,0
2023-02-19,5,17,0
2023-02-26,5,19,0
2023-03-05,6,20,0
2023-03-12,6,25,0
2023-03-19,8,31,0
2023-03-26,9,33,0
2023-04-02,9,25,0
2023-04-09,8,25,0
2023-04-16,7,23,0
2023-04-23,5,20,0
2023-04-30,5,19,0
2023-05-07,5,17,0
2023-05-14,5,21,0
2023-05-21,4,18,0
2023-05-28,4,14,0
2023-06-04,3,13,0
2023-06-11,4,14,0
2023-06-18,4,16,0
2023-06-25,2,12,0
2023-07-02,3,18,0
2023-07-09,2,9,0
2023-07-16,2,10,0
2023-07-23,3,10,0
2023-07-30,2,7,0
2023-08-06,0,7,0
2023-08-13,0,9,0
2023-08-20,2,9,0
2023-08-27,2,8,0
2023-09-03,0,5,0
2023-09-10,2,7,0
2023-09-17,0,7,0
2023-09-24,0,8,0
2023-10-01,2,8,0
2023-10-08,0,5,0
2023-10-15,0,7,0
2023-10-22,0,5,0
2023-10-29,0,6,0
2023-11-05,0,6,0
2023-11-12,2,8,0
2023-11-19,2,8,0
2023-11-26,2,7,0
2023-12-03,0,7,0
2023-12-10,2,8,0
2023-12-17,2,8,0
2023-12-24,0,6,0
2023-12-31,0,7,0
2024-01-07,2,9,0
2024-01-14,2,9,0
2024-01-21,4,13,0
2024-01-28,5,19,0
2024-02-04,6,27,0
2024-02-11,15,50,0
2024-02-18,19,83,0
2024-02-25,21,96,0
2024-03-03,22,100,0
2024-03-10,18,80,0
2024-03-17,18,76,2
2024-03-24,14,55,0
2024-03-31,19,71,0
2024-04-07,18,66,1
2024-04-14,14,59,1
2024-04-21,12,45,0
