Categoria: Todas as categorias

Semana,sintomas dengue: (Maranhão),dengue: (Maranhão),tratamento dengue: (Maranhão)
2021-11-14,0,7,0
2021-11-21,0,5,0
2021-11-28,0,6,0
2021-12-05,0,5,0
2021-12-12,0,5,0
2021-12-19,0,6,0
2021-12-26,0,6,0
2022-01-02,0,8,0
2022-01-09,5,15,0
2022-01-16,4,15,0
2022-01-23,3,11,0
2022-01-30,0,7,0
2022-02-06,0,10,0
2022-02-13,0,11,0
2022-02-20,3,14,0
2022-02-27,4,15,0
2022-03-06,2,13,0
2022-03-13,3,16,0
2022-03-20,5,15,0
2022-03-27,6,23,0
2022-04-03,5,22,0
2022-04-10,8,20,0
2022-04-17,9,28,0
2022-04-24,7,29,0
2022-05-01,8,29,0
2022-05-08,6,29,0
2022-05-15,9,30,0
2022-05-22,8,26,0
2022-05-29,7,27,0
2022-06-05,6,24,0
2022-06-12,6,19,0
2022-06-19,7,21,0
2022-06-26,6,18,0
2022-07-03,6,21,0
2022-07-10,5,14,0
2022-07-17,3,13,0
2022-07-24,3,9,0
2022-07-31,4,9,0
2022-08-07,3,9,0
2022-08-14,0,6,0
2022-08-21,3,11,0
2022-08-28,0,11,0
2022-09-04,0,7,0
2022-09-11,3,10,0
2022-09-18,0,8,0
2022-09-25,2,8,0
2022-10-02,0,8,0
2022-10-09,2,8,0
2022-10-16,0,9,0
2022-10-23,0,6,0
2022-10-30,0,3,0
2022-11-06,0,7,0
2022-11-13,0,7,0
2022-11-20,0,9,0
2022-11-27,0,6,0
2022-12-04,3,8,0
2022-12-11,0,7,0
2022-12-18,0,6,0
2022-12-25,0,9,0
2023-01-01,3,9,0
2023-01-08,2,9,0
2023-01-15,3,10,0
2023-01-22,4,14,0
2023-01-29,4,13,0
2023-02-05,4,16,0
2023-02-12,7,21,0
2023-02-19,5,19,0
2023-02-26,7,24,0
2023-03-05,9,31,0
2023-03-12,11,31,0
2023-03-19,10,33,0
2023-03-26,12,39,0
2023-04-02,10,27,0
2023-04-09,8,30,0
2023-04-16,7,22,0
2023-04-23,5,24,0
2023-04-30,8,22,0
2023-05-07,7,24,0
2023-05-14,7,22,0
2023-05-21,5,17,0
2023-05-28,4,16,0
2023-06-04,2,13,0
2023-06-11,4,15,0
2023-06-18,4,15,0
2023-06-25,3,15,0
2023-07-02,4,19,0
2023-07-09,0,10,0
2023-07-16,3,9,0
2023-07-23,0,8,0
2023-07-30,0,8,0
2023-08-06,0,7,0
2023-08-13,3,6,0
2023-08-20,0,7,0
2023-08-27,0,5,0
2023-09-03,0,6,0
2023-09-10,0,4,0
2023-09-17,0,6,0
2023-09-24,0,6,0
2023-10-01,0,0,0
2023-10-08,0,6,0
2023-10-15,0,5,0
2023-10-22,0,6,0
2023-10-29,0,4,0
2023-11-05,0,5,0
2023-11-12,0,3,0
2023-11-19,0,5,0
2023-11-26,3,7,0
2023-12-03,0,6,0
2023-12-10,0,6,0
2023-12-17,0,5,0
2023-12-24,0,7,0
2023-12-31,0,4,0
2024-01-07,0,7,0
2024-01-14,3,10,0
2024-01-21,4,13,0
2024-01-28,7,20,0
2024-02-04,8,32,0
2024-02-11,15,57,0
2024-02-18,22,96,0
2024-02-25,25,100,0
2024-03-03,20,91,0
2024-03-10,21,86,0
2024-03-17,22,96,0
2024-03-24,24,75,0
2024-03-31,18,73,0
2024-04-07,14,67,1
2024-04-14,13,62,1
2024-04-21,9,42,0
