Categoria: Todas as categorias

Semana,sintomas dengue: (Alagoas),dengue: (Alagoas),tratamento dengue: (Alagoas)
2023-08-13,0,7,0
2023-08-20,0,5,0
2023-08-27,0,8,0
2023-09-03,0,9,0
2023-09-10,0,10,0
2023-09-17,0,9,0
2023-09-24,0,7,0
2023-10-01,0,6,0
2023-10-08,0,7,0
2023-10-15,0,9,0
2023-10-22,0,5,0
2023-10-29,0,7,0
2023-11-05,0,6,0
2023-11-12,0,5,0
2023-11-19,0,7,0
2023-11-26,0,7,0
2023-12-03,0,8,0
2023-12-10,0,8,0
2023-12-17,0,6,0
2023-12-24,0,6,0
2023-12-31,0,9,0
2024-01-07,0,8,0
2024-01-14,0,10,0
2024-01-21,0,12,0
2024-01-28,5,20,0
2024-02-04,5,25,0
2024-02-11,9,41,0
2024-02-18,22,92,0
2024-02-25,17,88,0
2024-03-03,20,85,0
2024-03-10,20,99,0
2024-03-17,17,92,0
2024-03-24,18,59,0
2024-03-31,15,65,0
2024-04-07,14,72,1
2024-04-14,13,64,1
2024-04-21,11,46,0
