Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte)
2023-10-29,4,0
2023-11-05,8,0
2023-11-12,5,0
2023-11-19,5,0
2023-11-26,6,0
2023-12-03,6,0
2023-12-10,7,4
2023-12-17,7,0
2023-12-24,7,0
2023-12-31,8,0
2024-01-07,9,0
2024-01-14,12,4
2024-01-21,20,0
2024-01-28,16,5
2024-02-04,31,6
2024-02-11,49,13
2024-02-18,82,19
2024-02-25,91,22
2024-03-03,100,21
2024-03-10,85,22
2024-03-17,89,17
2024-03-24,65,15
2024-03-31,71,11
2024-04-07,72,12
2024-04-14,61,14
2024-04-21,60,14
2024-04-28,47,10
2024-05-05,30,7
2024-05-12,24,6
2024-05-19,26,0
2024-05-26,16,3
2024-06-02,18,3
2024-06-09,14,3
