Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí)
2021-05-09,8,0
2021-05-16,9,0
2021-05-23,7,0
2021-05-30,8,0
2021-06-06,10,3
2021-06-13,10,0
2021-06-20,8,3
2021-06-27,6,0
2021-07-04,7,3
2021-07-11,6,0
2021-07-18,4,0
2021-07-25,5,0
2021-08-01,4,0
2021-08-08,3,0
2021-08-15,5,0
2021-08-22,3,0
2021-08-29,5,0
2021-09-05,5,0
2021-09-12,5,0
2021-09-19,4,0
2021-09-26,0,0
2021-10-03,0,0
2021-10-10,0,0
2021-10-17,0,0
2021-10-24,0,0
2021-10-31,4,0
2021-11-07,3,0
2021-11-14,4,0
2021-11-21,0,0
2021-11-28,4,0
2021-12-05,4,0
2021-12-12,0,0
2021-12-19,5,0
2021-12-26,7,0
2022-01-02,6,3
2022-01-09,8,0
2022-01-16,11,4
2022-01-23,8,0
2022-01-30,9,0
2022-02-06,13,6
2022-02-13,17,6
2022-02-20,18,6
2022-02-27,26,7
2022-03-06,26,7
2022-03-13,34,9
2022-03-20,43,14
2022-03-27,60,16
2022-04-03,67,20
2022-04-10,74,20
2022-04-17,100,28
2022-04-24,98,25
2022-05-01,84,24
2022-05-08,72,20
2022-05-15,65,18
2022-05-22,48,14
2022-05-29,40,13
2022-06-05,43,12
2022-06-12,35,11
2022-06-19,25,9
2022-06-26,28,9
2022-07-03,23,9
2022-07-10,16,5
2022-07-17,10,3
2022-07-24,7,3
2022-07-31,7,3
2022-08-07,6,0
2022-08-14,6,0
2022-08-21,5,0
2022-08-28,4,0
2022-09-04,5,0
2022-09-11,0,0
2022-09-18,2,0
2022-09-25,4,0
2022-10-02,5,0
2022-10-09,4,0
2022-10-16,4,0
2022-10-23,3,0
2022-10-30,5,0
2022-11-06,3,0
2022-11-13,5,0
2022-11-20,4,0
2022-11-27,4,0
2022-12-04,3,0
2022-12-11,5,0
2022-12-18,3,0
2022-12-25,4,0
2023-01-01,8,0
2023-01-08,5,3
2023-01-15,7,0
2023-01-22,4,0
2023-01-29,7,0
2023-02-05,7,0
2023-02-12,8,2
2023-02-19,10,0
2023-02-26,14,6
2023-03-05,13,3
2023-03-12,13,3
2023-03-19,15,6
2023-03-26,18,5
2023-04-02,18,5
2023-04-09,19,7
2023-04-16,20,7
2023-04-23,18,6
2023-04-30,15,3
2023-05-07,19,5
2023-05-14,16,3
2023-05-21,10,0
2023-05-28,12,3
2023-06-04,8,3
2023-06-11,12,0
2023-06-18,7,3
2023-06-25,7,0
2023-07-02,8,0
2023-07-09,5,0
2023-07-16,3,0
2023-07-23,3,0
2023-07-30,0,0
2023-08-06,4,0
2023-08-13,4,0
2023-08-20,0,0
2023-08-27,3,0
2023-09-03,0,0
2023-09-10,0,0
2023-09-17,4,0
2023-09-24,4,0
2023-10-01,3,0
2023-10-08,3,0
2023-10-15,0,0
2023-10-22,3,0
2023-10-29,0,0
2023-11-05,3,0
2023-11-12,0,0
2023-11-19,3,0
2023-11-26,5,0
2023-12-03,0,0
2023-12-10,3,0
2023-12-17,4,0
2023-12-24,5,0
2023-12-31,4,0
2024-01-07,6,0
2024-01-14,5,0
2024-01-21,9,0
2024-01-28,15,0
2024-02-04,23,4
2024-02-11,27,3
2024-02-18,42,9
2024-02-25,45,10
2024-03-03,40,10
2024-03-10,51,12
2024-03-17,43,11
2024-03-24,37,9
2024-03-31,41,10
2024-04-07,38,9
2024-04-14,39,7
2024-04-21,28,7
2024-04-28,24,6
2024-05-05,43,7
2024-05-12,31,9
2024-05-19,72,11
2024-05-26,32,6
2024-06-02,28,5
2024-06-09,19,3
