Categoria: Todas as categorias

Semana,dengue: (Roraima),sintomas dengue: (Roraima)
2022-07-03,0,0
2022-07-10,0,0
2022-07-17,0,0
2022-07-24,0,0
2022-07-31,0,0
2022-08-07,0,0
2022-08-14,0,0
2022-08-21,0,0
2022-08-28,0,0
2022-09-04,0,0
2022-09-11,0,0
2022-09-18,29,0
2022-09-25,0,0
2022-10-02,0,0
2022-10-09,0,0
2022-10-16,0,0
2022-10-23,0,0
2022-10-30,0,0
2022-11-06,0,0
2022-11-13,0,0
2022-11-20,0,0
2022-11-27,0,0
2022-12-04,0,0
2022-12-11,0,0
2022-12-18,0,0
2022-12-25,0,0
2023-01-01,0,0
2023-01-08,0,0
2023-01-15,0,0
2023-01-22,0,0
2023-01-29,0,0
2023-02-05,0,0
2023-02-12,0,0
2023-02-19,0,0
2023-02-26,0,0
2023-03-05,34,0
2023-03-12,0,0
2023-03-19,0,0
2023-03-26,0,0
2023-04-02,0,0
2023-04-09,0,0
2023-04-16,0,0
2023-04-23,26,0
2023-04-30,0,0
2023-05-07,23,0
2023-05-14,0,0
2023-05-21,0,0
2023-05-28,51,0
2023-06-04,0,0
2023-06-11,0,0
2023-06-18,25,0
2023-06-25,34,0
2023-07-02,0,0
2023-07-09,34,0
2023-07-16,38,0
2023-07-23,0,0
2023-07-30,0,0
2023-08-06,30,0
2023-08-13,0,0
2023-08-20,32,0
2023-08-27,0,0
2023-09-03,0,0
2023-09-10,0,0
2023-09-17,0,0
2023-09-24,0,0
2023-10-01,0,0
2023-10-08,0,0
2023-10-15,0,0
2023-10-22,0,0
2023-10-29,33,0
2023-11-05,0,0
2023-11-12,0,0
2023-11-19,0,0
2023-11-26,0,0
2023-12-03,0,0
2023-12-10,0,0
2023-12-17,0,0
2023-12-24,0,0
2023-12-31,0,0
2024-01-07,0,0
2024-01-14,0,0
2024-01-21,0,0
2024-01-28,0,0
2024-02-04,40,0
2024-02-11,50,0
2024-02-18,93,0
2024-02-25,44,0
2024-03-03,85,0
2024-03-10,45,0
2024-03-17,100,0
2024-03-24,46,0
2024-03-31,66,0
2024-04-07,40,0
2024-04-14,56,0
2024-04-21,52,0
2024-04-28,45,0
2024-05-05,49,0
2024-05-12,67,0
2024-05-19,35,0
2024-05-26,46,0
2024-06-02,69,0
2024-06-09,52,0
2024-06-16,57,0
2024-06-23,76,0
2024-06-30,28,6
2024-07-07,29,7
2024-07-14,29,6
