Categoria: Todas as categorias

Semana,dengue: (Maranhão),sintomas dengue: (Maranhão)
2022-03-13,16,4
2022-03-20,15,4
2022-03-27,20,5
2022-04-03,21,5
2022-04-10,19,6
2022-04-17,29,9
2022-04-24,30,7
2022-05-01,28,8
2022-05-08,27,8
2022-05-15,29,8
2022-05-22,27,7
2022-05-29,25,7
2022-06-05,24,7
2022-06-12,21,6
2022-06-19,20,7
2022-06-26,19,5
2022-07-03,19,7
2022-07-10,14,5
2022-07-17,14,3
2022-07-24,8,2
2022-07-31,8,3
2022-08-07,9,2
2022-08-14,8,2
2022-08-21,9,2
2022-08-28,10,2
2022-09-04,8,0
2022-09-11,9,2
2022-09-18,8,0
2022-09-25,8,2
2022-10-02,7,2
2022-10-09,8,2
2022-10-16,7,2
2022-10-23,6,0
2022-10-30,6,0
2022-11-06,8,2
2022-11-13,7,0
2022-11-20,7,2
2022-11-27,7,2
2022-12-04,7,2
2022-12-11,7,2
2022-12-18,7,2
2022-12-25,10,2
2023-01-01,10,3
2023-01-08,9,2
2023-01-15,11,2
2023-01-22,14,3
2023-01-29,13,3
2023-02-05,16,4
2023-02-12,20,6
2023-02-19,21,5
2023-02-26,24,7
2023-03-05,30,9
2023-03-12,29,11
2023-03-19,31,10
2023-03-26,38,11
2023-04-02,28,9
2023-04-09,28,7
2023-04-16,22,7
2023-04-23,24,6
2023-04-30,22,7
2023-05-07,24,6
2023-05-14,20,6
2023-05-21,19,5
2023-05-28,16,4
2023-06-04,12,2
2023-06-11,17,5
2023-06-18,14,3
2023-06-25,14,4
2023-07-02,17,3
2023-07-09,8,2
2023-07-16,8,2
2023-07-23,8,0
2023-07-30,8,2
2023-08-06,8,2
2023-08-13,6,2
2023-08-20,6,2
2023-08-27,7,0
2023-09-03,5,0
2023-09-10,5,0
2023-09-17,6,0
2023-09-24,5,0
2023-10-01,5,0
2023-10-08,5,0
2023-10-15,6,0
2023-10-22,9,0
2023-10-29,4,0
2023-11-05,5,0
2023-11-12,4,0
2023-11-19,6,2
2023-11-26,7,2
2023-12-03,6,0
2023-12-10,6,2
2023-12-17,5,0
2023-12-24,5,0
2023-12-31,5,0
2024-01-07,9,3
2024-01-14,10,3
2024-01-21,12,3
2024-01-28,19,5
2024-02-04,34,10
2024-02-11,56,15
2024-02-18,91,25
2024-02-25,100,25
2024-03-03,89,19
2024-03-10,82,20
2024-03-17,87,21
2024-03-24,72,20
2024-03-31,68,18
2024-04-07,70,18
2024-04-14,59,12
2024-04-21,54,12
2024-04-28,37,9
2024-05-05,28,6
2024-05-12,26,6
2024-05-19,29,5
2024-05-26,21,4
2024-06-02,19,5
2024-06-09,18,6
2024-06-16,14,3
2024-06-23,11,0
2024-06-30,9,1
2024-07-07,8,2
2024-07-14,7,1
