Categoria: Todas as categorias

Semana,dengue: (Minas Gerais),sintomas dengue: (Minas Gerais)
2024-01-28,52,10
2024-02-04,68,12
2024-02-11,79,15
2024-02-18,94,16
2024-02-25,100,16
2024-03-03,89,16
2024-03-10,76,13
2024-03-17,80,12
2024-03-24,69,10
2024-03-31,60,10
2024-04-07,57,8
2024-04-14,50,7
2024-04-21,39,6
2024-04-28,36,6
2024-05-05,28,5
2024-05-12,23,4
2024-05-19,19,4
2024-05-26,15,2
2024-06-02,11,2
2024-06-09,9,1
2024-06-16,8,1
2024-06-23,6,1
2024-06-30,5,1
2024-07-07,4,1
2024-07-14,3,1
2024-07-21,3,1
2024-07-28,3,<1
2024-08-04,3,<1
2024-08-11,2,<1
2024-08-18,3,<1
2024-08-25,2,<1
2024-09-01,3,<1
2024-09-08,2,<1
2024-09-15,3,<1
2024-09-22,3,1
2024-09-29,3,<1
2024-10-06,2,<1
2024-10-13,3,<1
2024-10-20,3,<1
2024-10-27,3,<1
