Categoria: Todas as categorias

Semana,dengue: (Maranhão),sintomas dengue: (Maranhão)
2021-12-19,5,0
2021-12-26,5,0
2022-01-02,8,2
2022-01-09,15,5
2022-01-16,15,4
2022-01-23,11,2
2022-01-30,8,0
2022-02-06,11,2
2022-02-13,11,2
2022-02-20,12,3
2022-02-27,14,2
2022-03-06,13,3
2022-03-13,17,4
2022-03-20,15,4
2022-03-27,21,6
2022-04-03,23,5
2022-04-10,19,6
2022-04-17,30,9
2022-04-24,31,8
2022-05-01,28,8
2022-05-08,29,8
2022-05-15,32,8
2022-05-22,27,7
2022-05-29,26,7
2022-06-05,25,7
2022-06-12,21,7
2022-06-19,20,7
2022-06-26,19,6
2022-07-03,20,6
2022-07-10,14,5
2022-07-17,14,4
2022-07-24,10,3
2022-07-31,9,3
2022-08-07,9,3
2022-08-14,8,2
2022-08-21,8,2
2022-08-28,10,2
2022-09-04,8,0
2022-09-11,9,2
2022-09-18,8,0
2022-09-25,9,2
2022-10-02,8,2
2022-10-09,8,2
2022-10-16,7,2
2022-10-23,6,0
2022-10-30,6,1
2022-11-06,8,2
2022-11-13,7,2
2022-11-20,8,2
2022-11-27,6,0
2022-12-04,6,2
2022-12-11,8,2
2022-12-18,6,0
2022-12-25,9,3
2023-01-01,10,3
2023-01-08,10,2
2023-01-15,11,2
2023-01-22,13,3
2023-01-29,15,3
2023-02-05,15,5
2023-02-12,20,7
2023-02-19,20,6
2023-02-26,23,6
2023-03-05,30,10
2023-03-12,30,11
2023-03-19,32,10
2023-03-26,39,12
2023-04-02,29,10
2023-04-09,29,8
2023-04-16,22,7
2023-04-23,23,7
2023-04-30,24,8
2023-05-07,25,6
2023-05-14,21,6
2023-05-21,19,7
2023-05-28,17,4
2023-06-04,12,4
2023-06-11,17,4
2023-06-18,15,4
2023-06-25,15,4
2023-07-02,18,4
2023-07-09,10,2
2023-07-16,8,2
2023-07-23,7,0
2023-07-30,7,2
2023-08-06,8,2
2023-08-13,6,2
2023-08-20,7,2
2023-08-27,7,0
2023-09-03,5,0
2023-09-10,5,0
2023-09-17,5,0
2023-09-24,5,0
2023-10-01,5,0
2023-10-08,5,0
2023-10-15,6,0
2023-10-22,7,0
2023-10-29,5,0
2023-11-05,6,0
2023-11-12,5,0
2023-11-19,6,0
2023-11-26,7,2
2023-12-03,6,0
2023-12-10,6,2
2023-12-17,5,0
2023-12-24,6,0
2023-12-31,3,0
2024-01-07,10,3
2024-01-14,10,2
2024-01-21,13,2
2024-01-28,20,5
2024-02-04,35,10
2024-02-11,59,17
2024-02-18,99,25
2024-02-25,100,26
2024-03-03,97,21
2024-03-10,87,20
2024-03-17,89,23
2024-03-24,74,21
2024-03-31,72,18
2024-04-07,71,18
2024-04-14,59,15
2024-04-21,55,11
2024-04-28,38,9
2024-05-05,30,6
2024-05-12,26,5
2024-05-19,28,5
2024-05-26,21,4
2024-06-02,21,5
2024-06-09,18,5
2024-06-16,13,3
2024-06-23,12,2
2024-06-30,9,0
2024-07-07,8,0
2024-07-14,9,0
2024-07-21,7,0
2024-07-28,5,0
2024-08-04,7,0
2024-08-11,8,0
2024-08-18,7,0
2024-08-25,6,0
2024-09-01,6,2
2024-09-08,7,0
2024-09-15,6,0
2024-09-22,5,0
2024-09-29,6,0
2024-10-06,6,0
2024-10-13,5,0
2024-10-20,7,0
2024-10-27,5,0
2024-11-03,6,0
2024-11-10,4,0
2024-11-17,5,0
2024-11-24,6,2
2024-12-01,5,0
2024-12-08,6,0
2024-12-15,6,1
2024-12-22,5,1
2024-12-29,0,0
