Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul),tratamento dengue: (Mato Grosso do Sul)
2022-01-23,11,6,0
2022-01-30,7,3,0
2022-02-06,12,6,0
2022-02-13,10,2,0
2022-02-20,9,2,0
2022-02-27,14,5,0
2022-03-06,10,0,0
2022-03-13,17,4,0
2022-03-20,18,3,0
2022-03-27,20,6,0
2022-04-03,28,5,2
2022-04-10,27,5,0
2022-04-17,37,10,2
2022-04-24,50,13,0
2022-05-01,43,10,0
2022-05-08,53,11,0
2022-05-15,32,8,2
2022-05-22,39,11,0
2022-05-29,28,8,0
2022-06-05,30,8,0
2022-06-12,25,7,0
2022-06-19,22,7,0
2022-06-26,21,8,0
2022-07-03,20,5,3
2022-07-10,20,7,0
2022-07-17,16,7,0
2022-07-24,12,3,0
2022-07-31,14,5,0
2022-08-07,10,5,0
2022-08-14,8,4,0
2022-08-21,9,2,0
2022-08-28,10,0,0
2022-09-04,11,3,0
2022-09-11,13,0,3
2022-09-18,9,0,0
2022-09-25,8,3,0
2022-10-02,7,2,0
2022-10-09,8,0,0
2022-10-16,12,3,0
2022-10-23,15,3,0
2022-10-30,9,3,0
2022-11-06,14,4,0
2022-11-13,16,5,0
2022-11-20,16,4,0
2022-11-27,17,3,0
2022-12-04,17,5,0
2022-12-11,19,6,0
2022-12-18,24,6,0
2022-12-25,18,5,0
2023-01-01,16,6,0
2023-01-08,24,7,0
2023-01-15,16,5,0
2023-01-22,23,4,0
2023-01-29,27,7,0
2023-02-05,31,6,3
2023-02-12,39,13,0
2023-02-19,41,7,0
2023-02-26,45,12,0
2023-03-05,50,13,0
2023-03-12,55,15,0
2023-03-19,69,17,0
2023-03-26,82,24,0
2023-04-02,78,20,0
2023-04-09,80,23,0
2023-04-16,77,26,0
2023-04-23,77,17,4
2023-04-30,61,16,2
2023-05-07,62,15,0
2023-05-14,46,10,0
2023-05-21,49,15,0
2023-05-28,32,8,0
2023-06-04,22,4,0
2023-06-11,18,5,2
2023-06-18,20,3,0
2023-06-25,13,6,0
2023-07-02,17,3,0
2023-07-09,11,2,0
2023-07-16,10,0,0
2023-07-23,8,0,0
2023-07-30,9,4,0
2023-08-06,7,0,0
2023-08-13,10,3,0
2023-08-20,7,0,0
2023-08-27,7,2,0
2023-09-03,8,2,0
2023-09-10,7,3,0
2023-09-17,10,0,0
2023-09-24,8,0,0
2023-10-01,9,2,0
2023-10-08,9,3,0
2023-10-15,15,4,0
2023-10-22,8,0,0
2023-10-29,11,0,0
2023-11-05,11,0,0
2023-11-12,9,0,2
2023-11-19,9,0,0
2023-11-26,11,4,0
2023-12-03,9,4,0
2023-12-10,9,0,0
2023-12-17,11,0,0
2023-12-24,9,0,0
2023-12-31,17,0,0
2024-01-07,16,4,0
2024-01-14,16,5,0
2024-01-21,26,5,0
2024-01-28,32,5,0
2024-02-04,40,7,0
2024-02-11,60,11,0
2024-02-18,64,13,0
2024-02-25,69,11,0
2024-03-03,62,10,0
2024-03-10,59,15,0
2024-03-17,60,11,3
2024-03-24,52,10,1
2024-03-31,50,9,<1
