Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí),tratamento dengue: (Piauí)
2023-08-27,4,0,0
2023-09-03,3,0,0
2023-09-10,4,0,2
2023-09-17,4,0,0
2023-09-24,2,0,0
2023-10-01,4,0,0
2023-10-08,3,0,0
2023-10-15,2,0,0
2023-10-22,2,0,0
2023-10-29,2,0,0
2023-11-05,0,3,0
2023-11-12,2,0,0
2023-11-19,3,0,0
2023-11-26,5,0,0
2023-12-03,2,0,0
2023-12-10,2,0,0
2023-12-17,3,0,0
2023-12-24,6,0,0
2023-12-31,4,2,0
2024-01-07,7,0,0
2024-01-14,2,2,0
2024-01-21,10,2,0
2024-01-28,17,2,0
2024-02-04,26,4,0
2024-02-11,29,4,0
2024-02-18,44,7,0
2024-02-25,46,11,0
2024-03-03,45,11,0
2024-03-10,51,12,0
2024-03-17,46,9,<1
2024-03-24,40,9,<1
2024-03-31,34,9,<1
