Categoria: Todas as categorias

Semana,dengue: (Maranhão),sintomas dengue: (Maranhão),tratamento dengue: (Maranhão)
2020-12-27,6,0,0
2021-01-03,8,0,0
2021-01-10,3,0,0
2021-01-17,4,0,0
2021-01-24,4,2,0
2021-01-31,6,0,0
2021-02-07,8,0,0
2021-02-14,2,0,0
2021-02-21,6,3,0
2021-02-28,6,0,0
2021-03-07,11,0,0
2021-03-14,10,0,0
2021-03-21,10,2,0
2021-03-28,6,0,0
2021-04-04,8,2,0
2021-04-11,6,0,0
2021-04-18,6,0,0
2021-04-25,8,0,0
2021-05-02,8,3,0
2021-05-09,7,0,0
2021-05-16,9,0,0
2021-05-23,7,0,0
2021-05-30,5,0,0
2021-06-06,7,2,0
2021-06-13,8,3,0
2021-06-20,9,0,0
2021-06-27,3,0,0
2021-07-04,5,0,0
2021-07-11,3,0,0
2021-07-18,5,3,0
2021-07-25,0,0,0
2021-08-01,3,0,0
2021-08-08,2,0,0
2021-08-15,5,0,0
2021-08-22,7,0,0
2021-08-29,6,0,0
2021-09-05,4,0,0
2021-09-12,3,0,0
2021-09-19,4,0,0
2021-09-26,5,0,0
2021-10-03,3,0,0
2021-10-10,4,0,0
2021-10-17,0,0,0
2021-10-24,3,0,0
2021-10-31,3,0,0
2021-11-07,4,4,0
2021-11-14,6,0,0
2021-11-21,5,0,0
2021-11-28,9,0,0
2021-12-05,6,0,0
2021-12-12,7,0,0
2021-12-19,5,0,0
2021-12-26,6,0,0
2022-01-02,9,3,0
2022-01-09,14,3,0
2022-01-16,13,4,0
2022-01-23,14,3,0
2022-01-30,8,0,0
2022-02-06,10,0,0
2022-02-13,12,0,0
2022-02-20,13,3,0
2022-02-27,13,2,0
2022-03-06,12,3,0
2022-03-13,13,3,0
2022-03-20,15,4,2
2022-03-27,21,5,1
2022-04-03,25,5,0
2022-04-10,20,7,0
2022-04-17,29,9,0
2022-04-24,28,7,0
2022-05-01,30,8,0
2022-05-08,27,8,0
2022-05-15,28,8,0
2022-05-22,28,7,2
2022-05-29,25,7,0
2022-06-05,23,5,2
2022-06-12,19,5,0
2022-06-19,19,7,0
2022-06-26,19,6,0
2022-07-03,21,6,0
2022-07-10,14,5,0
2022-07-17,13,0,0
2022-07-24,9,3,0
2022-07-31,8,3,2
2022-08-07,9,2,0
2022-08-14,6,2,0
2022-08-21,9,2,0
2022-08-28,11,3,0
2022-09-04,7,0,0
2022-09-11,9,4,0
2022-09-18,9,0,0
2022-09-25,8,3,0
2022-10-02,9,3,0
2022-10-09,7,0,0
2022-10-16,10,3,0
2022-10-23,7,2,0
2022-10-30,3,0,0
2022-11-06,8,2,0
2022-11-13,9,0,0
2022-11-20,9,0,0
2022-11-27,6,0,0
2022-12-04,9,3,0
2022-12-11,7,2,0
2022-12-18,6,3,0
2022-12-25,10,4,0
2023-01-01,9,3,0
2023-01-08,9,4,0
2023-01-15,12,2,0
2023-01-22,12,4,0
2023-01-29,13,4,0
2023-02-05,16,4,0
2023-02-12,20,6,0
2023-02-19,19,4,0
2023-02-26,24,8,0
2023-03-05,29,8,0
2023-03-12,30,13,0
2023-03-19,34,11,0
2023-03-26,39,10,0
2023-04-02,25,8,2
2023-04-09,29,7,0
2023-04-16,21,7,0
2023-04-23,22,4,0
2023-04-30,23,8,0
2023-05-07,24,6,0
2023-05-14,22,7,0
2023-05-21,18,5,0
2023-05-28,14,4,0
2023-06-04,13,3,0
2023-06-11,15,3,0
2023-06-18,15,2,0
2023-06-25,15,3,0
2023-07-02,18,4,0
2023-07-09,11,2,0
2023-07-16,10,0,0
2023-07-23,7,0,0
2023-07-30,7,0,0
2023-08-06,9,4,0
2023-08-13,8,0,0
2023-08-20,7,0,0
2023-08-27,7,2,0
2023-09-03,9,0,0
2023-09-10,5,0,0
2023-09-17,5,0,0
2023-09-24,7,0,0
2023-10-01,3,0,0
2023-10-08,5,0,0
2023-10-15,5,0,0
2023-10-22,7,0,0
2023-10-29,5,0,0
2023-11-05,5,0,0
2023-11-12,4,0,0
2023-11-19,6,0,0
2023-11-26,10,3,0
2023-12-03,4,0,0
2023-12-10,5,2,0
2023-12-17,5,0,0
2023-12-24,6,0,0
2023-12-31,5,0,0
2024-01-07,8,3,0
2024-01-14,11,3,0
2024-01-21,12,3,0
2024-01-28,20,6,0
2024-02-04,32,7,0
2024-02-11,56,16,0
2024-02-18,94,21,0
2024-02-25,100,25,0
2024-03-03,94,19,0
2024-03-10,84,21,0
2024-03-17,91,23,1
2024-03-24,76,20,1
2024-03-31,65,18,1
