Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas),tratamento dengue: (Amazonas)
2023-01-29,10,7,0
2023-02-05,12,0,0
2023-02-12,15,5,0
2023-02-19,16,0,0
2023-02-26,18,4,0
2023-03-05,16,3,0
2023-03-12,16,6,3
2023-03-19,18,5,0
2023-03-26,18,3,0
2023-04-02,14,3,0
2023-04-09,18,0,0
2023-04-16,16,0,0
2023-04-23,17,4,0
2023-04-30,13,0,0
2023-05-07,16,6,0
2023-05-14,17,5,0
2023-05-21,14,4,0
2023-05-28,12,3,3
2023-06-04,11,0,0
2023-06-11,13,4,0
2023-06-18,12,0,0
2023-06-25,11,3,0
2023-07-02,12,3,0
2023-07-09,13,4,0
2023-07-16,9,4,0
2023-07-23,9,0,0
2023-07-30,10,3,0
2023-08-06,7,4,0
2023-08-13,9,0,0
2023-08-20,9,0,0
2023-08-27,9,0,0
2023-09-03,0,0,0
2023-09-10,0,0,0
2023-09-17,7,4,0
2023-09-24,8,0,0
2023-10-01,7,0,0
2023-10-08,6,0,0
2023-10-15,5,0,0
2023-10-22,5,0,0
2023-10-29,4,0,0
2023-11-05,9,4,0
2023-11-12,11,0,0
2023-11-19,9,0,0
2023-11-26,9,0,0
2023-12-03,14,6,4
2023-12-10,18,4,0
2023-12-17,26,11,0
2023-12-24,51,17,0
2023-12-31,90,31,0
2024-01-07,82,22,0
2024-01-14,92,25,0
2024-01-21,87,23,3
2024-01-28,60,16,0
2024-02-04,70,23,0
2024-02-11,76,22,0
2024-02-18,100,22,0
2024-02-25,93,19,0
2024-03-03,79,16,0
2024-03-10,69,14,0
2024-03-17,56,14,1
2024-03-24,43,11,1
2024-03-31,40,10,1
