Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso),tratamento dengue: (Mato Grosso)
2022-05-15,33,9,0
2022-05-22,28,8,0
2022-05-29,23,7,0
2022-06-05,27,8,0
2022-06-12,24,6,0
2022-06-19,28,6,0
2022-06-26,26,9,2
2022-07-03,20,8,0
2022-07-10,20,5,3
2022-07-17,15,6,0
2022-07-24,13,5,0
2022-07-31,10,4,0
2022-08-07,7,3,0
2022-08-14,9,0,0
2022-08-21,10,3,0
2022-08-28,10,4,0
2022-09-04,8,3,0
2022-09-11,11,2,0
2022-09-18,9,2,0
2022-09-25,10,3,0
2022-10-02,11,2,0
2022-10-09,9,2,0
2022-10-16,9,4,0
2022-10-23,13,2,0
2022-10-30,9,0,0
2022-11-06,14,3,0
2022-11-13,14,5,0
2022-11-20,11,3,0
2022-11-27,12,0,0
2022-12-04,12,6,3
2022-12-11,17,5,0
2022-12-18,13,6,0
2022-12-25,21,6,0
2023-01-01,18,5,0
2023-01-08,21,6,0
2023-01-15,24,6,0
2023-01-22,18,4,0
2023-01-29,23,5,0
2023-02-05,28,6,0
2023-02-12,31,9,0
2023-02-19,37,13,0
2023-02-26,40,11,0
2023-03-05,33,10,0
2023-03-12,41,11,0
2023-03-19,36,10,0
2023-03-26,63,20,0
2023-04-02,57,20,0
2023-04-09,57,16,0
2023-04-16,48,15,0
2023-04-23,47,13,0
2023-04-30,44,11,3
2023-05-07,35,10,0
2023-05-14,32,8,0
2023-05-21,32,11,0
2023-05-28,29,7,0
2023-06-04,25,7,0
2023-06-11,19,3,0
2023-06-18,18,3,0
2023-06-25,14,6,0
2023-07-02,21,4,0
2023-07-09,16,0,0
2023-07-16,12,2,0
2023-07-23,10,0,0
2023-07-30,15,4,0
2023-08-06,12,3,0
2023-08-13,11,0,0
2023-08-20,12,2,0
2023-08-27,9,2,0
2023-09-03,11,3,0
2023-09-10,9,4,0
2023-09-17,7,0,0
2023-09-24,10,0,0
2023-10-01,15,4,0
2023-10-08,8,0,0
2023-10-15,8,0,0
2023-10-22,9,0,0
2023-10-29,10,0,0
2023-11-05,13,3,0
2023-11-12,14,4,0
2023-11-19,12,0,0
2023-11-26,15,3,0
2023-12-03,15,2,0
2023-12-10,11,4,0
2023-12-17,17,0,0
2023-12-24,15,4,0
2023-12-31,22,6,0
2024-01-07,28,10,0
2024-01-14,29,7,0
2024-01-21,40,11,0
2024-01-28,50,11,0
2024-02-04,59,15,0
2024-02-11,90,21,0
2024-02-18,90,22,0
2024-02-25,100,18,0
2024-03-03,78,16,3
2024-03-10,79,17,0
2024-03-17,72,14,1
2024-03-24,59,12,1
2024-03-31,62,14,1
