Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul),tratamento dengue: (Mato Grosso do Sul)
2022-08-21,8,2,0
2022-08-28,8,0,0
2022-09-04,9,3,0
2022-09-11,10,3,0
2022-09-18,7,0,0
2022-09-25,5,0,0
2022-10-02,6,0,0
2022-10-09,8,3,0
2022-10-16,11,4,0
2022-10-23,13,4,0
2022-10-30,6,2,0
2022-11-06,13,3,0
2022-11-13,12,4,0
2022-11-20,13,5,0
2022-11-27,15,5,0
2022-12-04,15,3,0
2022-12-11,17,5,0
2022-12-18,21,8,0
2022-12-25,17,6,0
2023-01-01,16,5,0
2023-01-08,20,5,0
2023-01-15,14,5,0
2023-01-22,20,6,0
2023-01-29,23,7,0
2023-02-05,26,6,0
2023-02-12,34,12,0
2023-02-19,35,9,0
2023-02-26,38,10,0
2023-03-05,44,12,0
2023-03-12,47,14,0
2023-03-19,59,15,0
2023-03-26,71,19,0
2023-04-02,65,15,0
2023-04-09,66,19,0
2023-04-16,69,18,0
2023-04-23,68,12,0
2023-04-30,51,13,0
2023-05-07,52,12,0
2023-05-14,39,10,0
2023-05-21,42,12,0
2023-05-28,27,7,2
2023-06-04,18,4,0
2023-06-11,17,5,0
2023-06-18,16,3,0
2023-06-25,10,4,0
2023-07-02,17,2,0
2023-07-09,10,0,0
2023-07-16,6,3,0
2023-07-23,8,2,0
2023-07-30,6,2,0
2023-08-06,8,0,0
2023-08-13,7,0,0
2023-08-20,6,0,0
2023-08-27,8,0,0
2023-09-03,7,2,0
2023-09-10,7,3,0
2023-09-17,8,0,0
2023-09-24,6,2,0
2023-10-01,9,2,0
2023-10-08,6,3,0
2023-10-15,14,3,0
2023-10-22,6,3,0
2023-10-29,7,0,0
2023-11-05,10,3,0
2023-11-12,8,2,0
2023-11-19,8,0,0
2023-11-26,9,5,0
2023-12-03,9,3,0
2023-12-10,7,0,0
2023-12-17,9,0,0
2023-12-24,9,5,0
2023-12-31,16,3,0
2024-01-07,13,4,0
2024-01-14,16,4,0
2024-01-21,24,4,0
2024-01-28,29,4,0
2024-02-04,34,6,0
2024-02-11,49,10,0
2024-02-18,54,10,0
2024-02-25,60,10,0
2024-03-03,52,11,<1
2024-03-10,54,11,1
2024-03-17,51,11,1
