Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte),tratamento dengue: (Rio Grande do Norte)
2021-07-11,8,4,0
2021-07-18,7,0,0
2021-07-25,6,0,0
2021-08-01,6,4,0
2021-08-08,6,0,0
2021-08-15,4,0,0
2021-08-22,5,0,0
2021-08-29,5,0,0
2021-09-05,0,0,0
2021-09-12,7,0,0
2021-09-19,5,0,0
2021-09-26,6,0,0
2021-10-03,7,0,0
2021-10-10,0,0,0
2021-10-17,8,0,0
2021-10-24,5,0,0
2021-10-31,3,0,0
2021-11-07,7,0,0
2021-11-14,5,0,0
2021-11-21,0,0,0
2021-11-28,5,0,0
2021-12-05,6,0,0
2021-12-12,4,0,0
2021-12-19,0,0,0
2021-12-26,0,0,0
2022-01-02,10,4,0
2022-01-09,6,0,0
2022-01-16,7,0,0
2022-01-23,8,3,0
2022-01-30,6,0,0
2022-02-06,5,0,0
2022-02-13,6,2,0
2022-02-20,9,0,0
2022-02-27,8,3,0
2022-03-06,13,0,0
2022-03-13,15,0,0
2022-03-20,21,5,0
2022-03-27,28,8,0
2022-04-03,32,8,0
2022-04-10,42,14,0
2022-04-17,64,24,4
2022-04-24,85,26,0
2022-05-01,78,21,4
2022-05-08,79,28,0
2022-05-15,97,31,0
2022-05-22,90,27,0
2022-05-29,94,28,0
2022-06-05,91,28,0
2022-06-12,90,31,3
2022-06-19,69,22,0
2022-06-26,65,20,0
2022-07-03,52,20,0
2022-07-10,49,12,0
2022-07-17,45,11,0
2022-07-24,42,12,0
2022-07-31,33,10,0
2022-08-07,22,7,0
2022-08-14,28,10,0
2022-08-21,20,5,0
2022-08-28,19,5,0
2022-09-04,14,3,0
2022-09-11,11,2,0
2022-09-18,13,0,0
2022-09-25,9,3,0
2022-10-02,7,0,0
2022-10-09,9,0,0
2022-10-16,8,4,0
2022-10-23,5,0,0
2022-10-30,8,0,0
2022-11-06,6,2,0
2022-11-13,7,0,0
2022-11-20,8,2,0
2022-11-27,5,3,0
2022-12-04,9,0,0
2022-12-11,6,8,0
2022-12-18,4,0,0
2022-12-25,6,0,0
2023-01-01,4,0,0
2023-01-08,4,4,0
2023-01-15,7,0,0
2023-01-22,8,0,0
2023-01-29,7,0,0
2023-02-05,6,0,0
2023-02-12,6,0,0
2023-02-19,7,0,0
2023-02-26,12,3,0
2023-03-05,9,3,0
2023-03-12,11,0,0
2023-03-19,13,4,0
2023-03-26,20,3,0
2023-04-02,16,3,0
2023-04-09,20,5,0
2023-04-16,19,9,0
2023-04-23,19,5,0
2023-04-30,13,4,0
2023-05-07,14,0,3
2023-05-14,14,0,0
2023-05-21,13,3,0
2023-05-28,8,3,0
2023-06-04,9,0,0
2023-06-11,6,0,0
2023-06-18,8,3,0
2023-06-25,8,0,0
2023-07-02,12,0,0
2023-07-09,9,0,0
2023-07-16,10,0,0
2023-07-23,6,0,0
2023-07-30,0,0,0
2023-08-06,6,0,0
2023-08-13,4,0,0
2023-08-20,5,0,0
2023-08-27,7,0,0
2023-09-03,4,0,0
2023-09-10,5,0,0
2023-09-17,6,0,0
2023-09-24,7,3,0
2023-10-01,5,0,0
2023-10-08,6,0,0
2023-10-15,5,0,0
2023-10-22,7,0,0
2023-10-29,4,0,0
2023-11-05,9,0,0
2023-11-12,4,0,0
2023-11-19,5,0,0
2023-11-26,7,0,0
2023-12-03,5,0,0
2023-12-10,8,0,0
2023-12-17,8,0,0
2023-12-24,7,0,0
2023-12-31,7,0,0
2024-01-07,8,4,0
2024-01-14,11,3,0
2024-01-21,16,0,3
2024-01-28,17,0,0
2024-02-04,22,9,0
2024-02-11,50,14,0
2024-02-18,85,19,3
2024-02-25,90,23,0
2024-03-03,100,23,1
2024-03-10,94,21,1
2024-03-17,88,21,1
