Categoria: Todas as categorias

Semana,dengue: (Paraíba),sintomas dengue: (Paraíba)
2023-06-11,7,0
2023-06-18,8,2
2023-06-25,8,0
2023-07-02,8,0
2023-07-09,9,2
2023-07-16,6,0
2023-07-23,9,2
2023-07-30,5,0
2023-08-06,5,0
2023-08-13,7,0
2023-08-20,5,3
2023-08-27,6,0
2023-09-03,6,0
2023-09-10,4,0
2023-09-17,6,0
2023-09-24,6,2
2023-10-01,5,0
2023-10-08,4,0
2023-10-15,5,0
2023-10-22,5,0
2023-10-29,5,0
2023-11-05,5,0
2023-11-12,4,0
2023-11-19,6,2
2023-11-26,6,0
2023-12-03,5,0
2023-12-10,4,0
2023-12-17,6,0
2023-12-24,7,0
2023-12-31,6,0
2024-01-07,5,2
2024-01-14,7,3
2024-01-21,12,3
2024-01-28,16,3
2024-02-04,26,6
2024-02-11,50,14
2024-02-18,87,18
2024-02-25,100,19
2024-03-03,99,22
2024-03-10,82,17
2024-03-17,79,18
2024-03-24,50,12
2024-03-31,53,10
2024-04-07,60,10
2024-04-14,48,11
2024-04-21,42,8
2024-04-28,32,8
2024-05-05,27,5
2024-05-12,21,4
2024-05-19,20,4
2024-05-26,18,3
2024-06-02,18,3
2024-06-09,19,3
2024-06-16,16,2
2024-06-23,14,0
2024-06-30,12,3
2024-07-07,11,2
2024-07-14,15,3
2024-07-21,12,2
2024-07-28,10,0
2024-08-04,10,0
2024-08-11,11,0
2024-08-18,10,0
2024-08-25,10,2
2024-09-01,9,0
2024-09-08,8,0
2024-09-15,7,0
2024-09-22,5,0
2024-09-29,6,2
2024-10-06,6,2
2024-10-13,8,0
2024-10-20,7,0
2024-10-27,7,1
2024-11-03,8,1
2024-11-10,8,0
