Categoria: Todas as categorias

Semana,dengue: (Pernambuco),sintomas dengue: (Pernambuco)
2022-06-19,20,7
2022-06-26,16,6
2022-07-03,15,5
2022-07-10,11,4
2022-07-17,10,3
2022-07-24,10,3
2022-07-31,9,3
2022-08-07,9,2
2022-08-14,9,2
2022-08-21,8,2
2022-08-28,7,2
2022-09-04,7,1
2022-09-11,6,1
2022-09-18,7,2
2022-09-25,6,1
2022-10-02,5,1
2022-10-09,5,1
2022-10-16,6,1
2022-10-23,6,1
2022-10-30,5,0
2022-11-06,6,2
2022-11-13,7,2
2022-11-20,6,2
2022-11-27,6,1
2022-12-04,5,1
2022-12-11,5,2
2022-12-18,5,2
2022-12-25,6,2
2023-01-01,5,2
2023-01-08,6,1
2023-01-15,5,1
2023-01-22,4,1
2023-01-29,5,1
2023-02-05,6,1
2023-02-12,7,1
2023-02-19,5,2
2023-02-26,9,3
2023-03-05,9,3
2023-03-12,10,3
2023-03-19,11,4
2023-03-26,18,5
2023-04-02,13,5
2023-04-09,14,5
2023-04-16,13,4
2023-04-23,12,4
2023-04-30,10,3
2023-05-07,10,3
2023-05-14,9,2
2023-05-21,11,3
2023-05-28,10,3
2023-06-04,8,2
2023-06-11,9,2
2023-06-18,8,3
2023-06-25,8,2
2023-07-02,11,1
2023-07-09,8,1
2023-07-16,6,0
2023-07-23,5,1
2023-07-30,5,0
2023-08-06,6,2
2023-08-13,6,1
2023-08-20,7,1
2023-08-27,7,1
2023-09-03,6,2
2023-09-10,6,0
2023-09-17,6,2
2023-09-24,6,1
2023-10-01,5,2
2023-10-08,5,2
2023-10-15,6,1
2023-10-22,5,2
2023-10-29,4,0
2023-11-05,6,1
2023-11-12,6,1
2023-11-19,7,2
2023-11-26,7,1
2023-12-03,6,2
2023-12-10,6,2
2023-12-17,6,1
2023-12-24,6,3
2023-12-31,8,2
2024-01-07,9,3
2024-01-14,7,2
2024-01-21,13,3
2024-01-28,18,3
2024-02-04,32,9
2024-02-11,52,15
2024-02-18,91,22
2024-02-25,100,22
2024-03-03,97,24
2024-03-10,89,19
2024-03-17,85,17
2024-03-24,59,15
2024-03-31,58,15
2024-04-07,65,14
2024-04-14,59,13
2024-04-21,71,13
2024-04-28,45,9
2024-05-05,37,7
2024-05-12,32,6
2024-05-19,32,8
2024-05-26,26,5
2024-06-02,26,4
2024-06-09,23,5
2024-06-16,19,4
2024-06-23,18,3
2024-06-30,17,4
2024-07-07,14,3
2024-07-14,15,3
2024-07-21,12,3
2024-07-28,12,2
2024-08-04,13,2
2024-08-11,12,3
2024-08-18,13,2
2024-08-25,10,2
2024-09-01,9,2
2024-09-08,10,2
2024-09-15,10,2
2024-09-22,9,1
2024-09-29,8,1
2024-10-06,6,1
2024-10-13,10,1
2024-10-20,10,1
2024-10-27,7,0
2024-11-03,8,1
2024-11-10,8,0
2024-11-17,8,0
2024-11-24,8,2
2024-12-01,7,0
2024-12-08,5,1
2024-12-15,8,0
2024-12-22,7,1
2024-12-29,6,0
2025-01-05,8,2
2025-01-12,11,2
2025-01-19,12,1
2025-01-26,11,2
2025-02-02,8,0
2025-02-09,13,2
2025-02-16,13,2
2025-02-23,14,3
2025-03-02,9,1
2025-03-09,12,2
2025-03-16,13,2
2025-03-23,14,2
2025-03-30,13,2
2025-04-06,26,3
2025-04-13,14,2
2025-04-20,15,2
