Categoria: Todas as categorias

Semana,dengue: (Pará),sintomas dengue: (Pará),tratamento dengue: (Pará)
2024-02-04,53,16,0
2024-02-11,74,19,0
2024-02-18,96,24,0
2024-02-25,94,26,0
2024-03-03,100,24,3
2024-03-10,92,21,2
2024-03-17,94,22,0
2024-03-24,74,21,0
2024-03-31,70,18,0
2024-04-07,73,20,0
2024-04-14,65,14,3
2024-04-21,59,14,1
2024-04-28,44,10,0
