Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte),tratamento dengue: (Rio Grande do Norte)
2021-09-26,6,0,0
2021-10-03,9,0,0
2021-10-10,0,0,0
2021-10-17,8,0,0
2021-10-24,0,0,0
2021-10-31,0,0,0
2021-11-07,6,0,0
2021-11-14,5,0,0
2021-11-21,0,0,0
2021-11-28,7,0,0
2021-12-05,4,4,0
2021-12-12,6,0,0
2021-12-19,0,0,0
2021-12-26,0,0,0
2022-01-02,8,5,0
2022-01-09,10,0,0
2022-01-16,10,0,0
2022-01-23,5,0,0
2022-01-30,4,0,0
2022-02-06,7,0,0
2022-02-13,6,0,0
2022-02-20,10,0,0
2022-02-27,9,0,0
2022-03-06,12,0,0
2022-03-13,17,0,0
2022-03-20,22,6,3
2022-03-27,29,9,0
2022-04-03,34,9,0
2022-04-10,43,14,0
2022-04-17,66,22,0
2022-04-24,88,27,0
2022-05-01,78,23,0
2022-05-08,83,30,0
2022-05-15,100,35,0
2022-05-22,95,28,0
2022-05-29,95,28,0
2022-06-05,89,27,0
2022-06-12,85,31,0
2022-06-19,72,22,0
2022-06-26,66,21,0
2022-07-03,56,21,0
2022-07-10,50,15,0
2022-07-17,43,12,0
2022-07-24,39,11,0
2022-07-31,35,10,0
2022-08-07,24,8,0
2022-08-14,30,9,0
2022-08-21,20,5,0
2022-08-28,19,3,0
2022-09-04,14,4,0
2022-09-11,10,0,0
2022-09-18,13,4,0
2022-09-25,10,0,0
2022-10-02,7,0,0
2022-10-09,10,0,0
2022-10-16,8,0,0
2022-10-23,5,0,0
2022-10-30,8,0,0
2022-11-06,7,0,0
2022-11-13,7,0,0
2022-11-20,9,0,0
2022-11-27,6,5,0
2022-12-04,9,0,0
2022-12-11,6,0,0
2022-12-18,4,0,0
2022-12-25,5,0,0
2023-01-01,4,0,0
2023-01-08,5,0,0
2023-01-15,8,0,0
2023-01-22,5,0,0
2023-01-29,5,0,0
2023-02-05,5,0,0
2023-02-12,5,0,0
2023-02-19,7,0,0
2023-02-26,12,0,0
2023-03-05,10,0,0
2023-03-12,11,0,0
2023-03-19,12,5,0
2023-03-26,22,4,0
2023-04-02,16,6,0
2023-04-09,19,6,0
2023-04-16,22,10,0
2023-04-23,20,5,0
2023-04-30,15,5,0
2023-05-07,14,4,0
2023-05-14,15,3,0
2023-05-21,13,4,0
2023-05-28,9,0,0
2023-06-04,10,0,0
2023-06-11,8,0,0
2023-06-18,10,0,0
2023-06-25,10,0,0
2023-07-02,10,0,0
2023-07-09,10,0,0
2023-07-16,10,0,0
2023-07-23,5,0,0
2023-07-30,5,0,0
2023-08-06,5,0,0
2023-08-13,5,0,0
2023-08-20,7,0,0
2023-08-27,6,0,0
2023-09-03,6,0,0
2023-09-10,4,0,0
2023-09-17,5,0,0
2023-09-24,9,0,0
2023-10-01,0,0,0
2023-10-08,8,0,0
2023-10-15,5,0,0
2023-10-22,7,0,0
2023-10-29,4,0,0
2023-11-05,9,0,0
2023-11-12,3,0,0
2023-11-19,6,0,0
2023-11-26,5,0,0
2023-12-03,5,0,0
2023-12-10,7,4,0
2023-12-17,10,4,0
2023-12-24,7,0,0
2023-12-31,7,0,0
2024-01-07,10,0,0
2024-01-14,15,4,0
2024-01-21,15,0,0
2024-01-28,19,5,0
2024-02-04,32,8,0
2024-02-11,50,14,0
2024-02-18,81,18,0
2024-02-25,92,21,0
2024-03-03,100,21,0
2024-03-10,88,19,0
2024-03-17,87,18,0
2024-03-24,67,15,0
2024-03-31,71,12,0
2024-04-07,72,12,0
2024-04-14,65,11,1
2024-04-21,58,12,1
2024-04-28,37,8,0
