Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso),tratamento dengue: (Mato Grosso)
2022-04-24,40,8,0
2022-05-01,38,8,0
2022-05-08,37,11,0
2022-05-15,33,8,0
2022-05-22,28,9,0
2022-05-29,24,8,0
2022-06-05,26,6,0
2022-06-12,21,6,0
2022-06-19,25,8,0
2022-06-26,29,7,0
2022-07-03,16,8,0
2022-07-10,19,5,0
2022-07-17,16,5,0
2022-07-24,12,5,0
2022-07-31,10,0,0
2022-08-07,8,0,0
2022-08-14,8,0,0
2022-08-21,11,4,0
2022-08-28,8,3,0
2022-09-04,9,3,0
2022-09-11,9,0,0
2022-09-18,9,0,0
2022-09-25,9,3,0
2022-10-02,10,0,0
2022-10-09,9,0,0
2022-10-16,10,4,0
2022-10-23,14,4,0
2022-10-30,9,0,0
2022-11-06,13,3,0
2022-11-13,15,5,0
2022-11-20,13,0,0
2022-11-27,14,0,0
2022-12-04,13,4,0
2022-12-11,18,6,0
2022-12-18,14,4,0
2022-12-25,21,5,0
2023-01-01,20,6,0
2023-01-08,19,4,0
2023-01-15,25,5,0
2023-01-22,19,4,0
2023-01-29,22,5,0
2023-02-05,28,7,0
2023-02-12,28,9,0
2023-02-19,39,11,0
2023-02-26,39,10,0
2023-03-05,32,10,0
2023-03-12,41,9,0
2023-03-19,35,9,0
2023-03-26,64,19,0
2023-04-02,54,19,0
2023-04-09,55,15,0
2023-04-16,49,15,0
2023-04-23,46,13,0
2023-04-30,42,11,0
2023-05-07,34,9,0
2023-05-14,35,10,0
2023-05-21,33,9,0
2023-05-28,30,7,0
2023-06-04,24,6,0
2023-06-11,18,3,0
2023-06-18,18,4,0
2023-06-25,12,0,0
2023-07-02,21,4,0
2023-07-09,15,0,0
2023-07-16,13,0,0
2023-07-23,10,0,0
2023-07-30,13,4,0
2023-08-06,12,0,0
2023-08-13,12,5,0
2023-08-20,11,0,0
2023-08-27,10,4,0
2023-09-03,10,0,0
2023-09-10,8,0,0
2023-09-17,8,0,0
2023-09-24,9,3,0
2023-10-01,13,3,0
2023-10-08,8,0,0
2023-10-15,9,0,0
2023-10-22,11,0,0
2023-10-29,11,0,0
2023-11-05,10,0,0
2023-11-12,12,4,0
2023-11-19,9,0,0
2023-11-26,14,3,0
2023-12-03,14,0,0
2023-12-10,13,4,0
2023-12-17,15,4,0
2023-12-24,14,7,0
2023-12-31,23,6,0
2024-01-07,28,8,0
2024-01-14,35,8,0
2024-01-21,38,12,0
2024-01-28,52,10,0
2024-02-04,60,13,0
2024-02-11,90,20,0
2024-02-18,87,22,0
2024-02-25,100,18,0
2024-03-03,81,17,0
2024-03-10,75,17,0
2024-03-17,70,16,0
2024-03-24,68,15,0
2024-03-31,78,20,0
2024-04-07,81,18,0
2024-04-14,95,17,1
2024-04-21,92,22,1
2024-04-28,82,18,1
