Categoria: Todas as categorias

Semana,dengue: (Ceará),sintomas dengue: (Ceará)
2023-03-19,31,8
2023-03-26,34,10
2023-04-02,26,9
2023-04-09,25,8
2023-04-16,23,7
2023-04-23,19,5
2023-04-30,19,6
2023-05-07,17,5
2023-05-14,20,5
2023-05-21,18,4
2023-05-28,15,3
2023-06-04,12,3
2023-06-11,15,4
2023-06-18,17,4
2023-06-25,11,2
2023-07-02,17,3
2023-07-09,11,3
2023-07-16,10,2
2023-07-23,10,2
2023-07-30,8,2
2023-08-06,7,0
2023-08-13,9,2
2023-08-20,10,2
2023-08-27,8,0
2023-09-03,7,0
2023-09-10,7,2
2023-09-17,7,0
2023-09-24,7,0
2023-10-01,8,2
2023-10-08,5,0
2023-10-15,7,0
2023-10-22,5,0
2023-10-29,6,2
2023-11-05,7,0
2023-11-12,9,2
2023-11-19,8,2
2023-11-26,8,2
2023-12-03,8,2
2023-12-10,8,0
2023-12-17,8,2
2023-12-24,7,0
2023-12-31,5,2
2024-01-07,9,3
2024-01-14,9,2
2024-01-21,13,3
2024-01-28,20,5
2024-02-04,28,6
2024-02-11,52,15
2024-02-18,84,18
2024-02-25,95,21
2024-03-03,100,22
2024-03-10,87,19
2024-03-17,81,19
2024-03-24,59,13
2024-03-31,72,19
2024-04-07,66,17
2024-04-14,58,17
2024-04-21,54,15
2024-04-28,42,9
2024-05-05,35,8
2024-05-12,30,6
2024-05-19,28,5
2024-05-26,21,4
2024-06-02,24,5
2024-06-09,20,3
2024-06-16,17,3
2024-06-23,13,3
