Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí),tratamento dengue: (Piauí)
2021-09-19,3,0,0
2021-09-26,4,0,3
2021-10-03,4,0,0
2021-10-10,3,0,0
2021-10-17,4,0,0
2021-10-24,3,3,0
2021-10-31,2,0,0
2021-11-07,3,0,0
2021-11-14,4,0,0
2021-11-21,2,0,0
2021-11-28,4,0,0
2021-12-05,6,0,0
2021-12-12,7,0,0
2021-12-19,0,0,0
2021-12-26,7,0,0
2022-01-02,7,4,0
2022-01-09,7,0,0
2022-01-16,11,5,0
2022-01-23,9,4,0
2022-01-30,13,3,0
2022-02-06,12,6,0
2022-02-13,18,6,0
2022-02-20,18,6,0
2022-02-27,28,6,0
2022-03-06,30,8,0
2022-03-13,36,10,0
2022-03-20,47,14,0
2022-03-27,68,16,0
2022-04-03,71,23,0
2022-04-10,82,23,2
2022-04-17,100,30,0
2022-04-24,98,29,4
2022-05-01,93,24,2
2022-05-08,80,20,0
2022-05-15,71,19,3
2022-05-22,52,15,0
2022-05-29,46,14,0
2022-06-05,46,12,0
2022-06-12,36,11,0
2022-06-19,26,10,0
2022-06-26,31,12,0
2022-07-03,25,10,0
2022-07-10,17,5,0
2022-07-17,8,3,0
2022-07-24,8,3,0
2022-07-31,9,3,0
2022-08-07,9,0,0
2022-08-14,4,2,0
2022-08-21,4,0,0
2022-08-28,4,0,0
2022-09-04,3,0,0
2022-09-11,3,0,0
2022-09-18,3,0,0
2022-09-25,0,0,0
2022-10-02,5,0,0
2022-10-09,4,0,0
2022-10-16,5,0,0
2022-10-23,4,0,0
2022-10-30,5,0,0
2022-11-06,5,0,0
2022-11-13,5,0,0
2022-11-20,4,0,0
2022-11-27,6,0,0
2022-12-04,3,0,0
2022-12-11,6,0,0
2022-12-18,5,0,0
2022-12-25,4,0,0
2023-01-01,5,0,0
2023-01-08,5,2,0
2023-01-15,7,0,0
2023-01-22,5,0,0
2023-01-29,8,0,0
2023-02-05,8,0,0
2023-02-12,10,4,0
2023-02-19,10,2,0
2023-02-26,15,5,0
2023-03-05,13,0,0
2023-03-12,15,4,0
2023-03-19,18,8,0
2023-03-26,21,6,0
2023-04-02,18,8,0
2023-04-09,21,8,0
2023-04-16,22,8,0
2023-04-23,20,6,0
2023-04-30,17,5,0
2023-05-07,21,7,0
2023-05-14,15,6,0
2023-05-21,10,2,0
2023-05-28,15,3,0
2023-06-04,9,2,0
2023-06-11,12,4,0
2023-06-18,8,3,0
2023-06-25,8,2,0
2023-07-02,6,2,0
2023-07-09,7,0,0
2023-07-16,4,0,0
2023-07-23,3,0,0
2023-07-30,3,0,0
2023-08-06,3,0,0
2023-08-13,3,2,0
2023-08-20,2,0,0
2023-08-27,5,0,0
2023-09-03,4,0,0
2023-09-10,3,0,0
2023-09-17,4,0,0
2023-09-24,3,0,0
2023-10-01,3,0,0
2023-10-08,0,0,0
2023-10-15,6,0,0
2023-10-22,3,0,0
2023-10-29,0,0,0
2023-11-05,2,0,0
2023-11-12,3,0,0
2023-11-19,3,0,0
2023-11-26,5,0,2
2023-12-03,4,0,0
2023-12-10,0,2,0
2023-12-17,3,0,0
2023-12-24,6,0,0
2023-12-31,4,0,0
2024-01-07,8,0,0
2024-01-14,6,3,0
2024-01-21,10,2,0
2024-01-28,18,0,0
2024-02-04,26,3,0
2024-02-11,31,4,0
2024-02-18,45,8,0
2024-02-25,49,10,0
2024-03-03,43,11,0
