Categoria: Todas as categorias

Semana,dengue: (Tocantins),sintomas dengue: (Tocantins),tratamento dengue: (Tocantins)
2023-01-22,17,4,0
2023-01-29,12,4,0
2023-02-05,10,6,0
2023-02-12,16,4,0
2023-02-19,16,0,0
2023-02-26,13,0,0
2023-03-05,14,6,0
2023-03-12,22,5,0
2023-03-19,25,7,0
2023-03-26,22,6,0
2023-04-02,25,4,0
2023-04-09,29,5,0
2023-04-16,20,9,0
2023-04-23,21,5,0
2023-04-30,24,0,0
2023-05-07,24,9,0
2023-05-14,21,0,0
2023-05-21,22,7,0
2023-05-28,13,0,0
2023-06-04,13,0,4
2023-06-11,11,0,0
2023-06-18,10,0,0
2023-06-25,6,0,0
2023-07-02,9,0,0
2023-07-09,6,0,0
2023-07-16,8,0,0
2023-07-23,0,0,0
2023-07-30,0,0,0
2023-08-06,5,0,0
2023-08-13,6,0,0
2023-08-20,7,0,0
2023-08-27,4,0,0
2023-09-03,11,0,0
2023-09-10,5,0,0
2023-09-17,5,0,0
2023-09-24,4,0,5
2023-10-01,0,0,0
2023-10-08,0,0,0
2023-10-15,5,0,0
2023-10-22,6,4,0
2023-10-29,5,0,0
2023-11-05,8,0,0
2023-11-12,7,0,0
2023-11-19,7,0,0
2023-11-26,10,0,0
2023-12-03,6,0,0
2023-12-10,8,0,0
2023-12-17,0,0,0
2023-12-24,0,0,0
2023-12-31,9,5,0
2024-01-07,11,5,0
2024-01-14,9,0,0
2024-01-21,17,0,0
2024-01-28,20,7,0
2024-02-04,35,8,0
2024-02-11,50,9,0
2024-02-18,49,9,0
2024-02-25,55,7,0
2024-03-03,51,11,0
