Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul),tratamento dengue: (Mato Grosso do Sul)
2022-05-15,27,7,0
2022-05-22,34,10,0
2022-05-29,26,5,0
2022-06-05,30,7,0
2022-06-12,21,6,0
2022-06-19,19,5,0
2022-06-26,19,5,0
2022-07-03,17,5,0
2022-07-10,17,7,0
2022-07-17,12,4,0
2022-07-24,11,2,0
2022-07-31,13,4,0
2022-08-07,10,3,0
2022-08-14,8,3,0
2022-08-21,8,2,0
2022-08-28,7,0,0
2022-09-04,7,2,0
2022-09-11,10,0,2
2022-09-18,6,2,0
2022-09-25,6,3,0
2022-10-02,6,2,0
2022-10-09,7,2,0
2022-10-16,10,3,0
2022-10-23,13,4,0
2022-10-30,9,3,0
2022-11-06,12,4,0
2022-11-13,12,4,0
2022-11-20,14,5,0
2022-11-27,14,4,0
2022-12-04,14,3,0
2022-12-11,16,5,0
2022-12-18,20,4,0
2022-12-25,20,5,0
2023-01-01,16,4,0
2023-01-08,20,7,0
2023-01-15,15,4,0
2023-01-22,21,5,0
2023-01-29,23,7,0
2023-02-05,25,5,0
2023-02-12,34,10,0
2023-02-19,36,10,0
2023-02-26,38,9,0
2023-03-05,45,13,0
2023-03-12,46,14,0
2023-03-19,59,15,0
2023-03-26,72,20,2
2023-04-02,64,15,0
2023-04-09,66,19,2
2023-04-16,66,18,0
2023-04-23,67,12,4
2023-04-30,52,14,0
2023-05-07,52,12,0
2023-05-14,36,9,0
2023-05-21,42,13,0
2023-05-28,27,7,0
2023-06-04,18,4,0
2023-06-11,15,4,0
2023-06-18,17,3,0
2023-06-25,11,4,0
2023-07-02,17,2,0
2023-07-09,9,0,0
2023-07-16,10,3,0
2023-07-23,7,0,0
2023-07-30,7,3,0
2023-08-06,7,0,0
2023-08-13,9,0,0
2023-08-20,6,0,0
2023-08-27,7,0,0
2023-09-03,8,2,0
2023-09-10,7,0,0
2023-09-17,9,0,0
2023-09-24,7,2,0
2023-10-01,9,3,0
2023-10-08,6,2,0
2023-10-15,13,3,0
2023-10-22,6,3,0
2023-10-29,8,2,0
2023-11-05,8,2,0
2023-11-12,7,2,0
2023-11-19,5,0,0
2023-11-26,11,0,4
2023-12-03,8,2,0
2023-12-10,8,3,0
2023-12-17,8,2,0
2023-12-24,8,0,0
2023-12-31,16,0,0
2024-01-07,14,4,0
2024-01-14,14,6,0
2024-01-21,23,5,0
2024-01-28,29,6,0
2024-02-04,33,6,0
2024-02-11,47,7,0
2024-02-18,54,11,0
2024-02-25,59,8,0
2024-03-03,54,12,0
