Categoria: Todas as categorias

Semana,dengue: (Pará),sintomas dengue: (Pará),tratamento dengue: (Pará)
2022-10-16,10,0,0
2022-10-23,6,2,0
2022-10-30,6,2,0
2022-11-06,7,2,0
2022-11-13,6,2,0
2022-11-20,8,2,0
2022-11-27,7,0,0
2022-12-04,9,3,0
2022-12-11,9,3,0
2022-12-18,6,2,0
2022-12-25,8,3,0
2023-01-01,8,2,0
2023-01-08,7,3,0
2023-01-15,7,0,0
2023-01-22,10,2,0
2023-01-29,11,3,0
2023-02-05,11,3,0
2023-02-12,13,3,0
2023-02-19,12,3,0
2023-02-26,13,4,2
2023-03-05,16,5,0
2023-03-12,24,5,0
2023-03-19,20,6,0
2023-03-26,24,6,0
2023-04-02,18,7,0
2023-04-09,16,5,0
2023-04-16,17,5,0
2023-04-23,15,4,0
2023-04-30,13,6,0
2023-05-07,12,3,0
2023-05-14,15,5,0
2023-05-21,14,4,0
2023-05-28,10,3,0
2023-06-04,10,2,0
2023-06-11,14,3,0
2023-06-18,11,2,0
2023-06-25,11,2,0
2023-07-02,10,3,0
2023-07-09,11,0,0
2023-07-16,4,0,0
2023-07-23,6,2,0
2023-07-30,6,0,0
2023-08-06,4,0,0
2023-08-13,6,0,0
2023-08-20,6,0,0
2023-08-27,7,0,0
2023-09-03,8,0,0
2023-09-10,10,2,0
2023-09-17,10,2,0
2023-09-24,6,0,0
2023-10-01,5,0,0
2023-10-08,5,0,0
2023-10-15,9,2,0
2023-10-22,7,0,0
2023-10-29,6,2,0
2023-11-05,6,0,0
2023-11-12,7,2,0
2023-11-19,9,2,3
2023-11-26,8,2,0
2023-12-03,5,0,0
2023-12-10,6,2,0
2023-12-17,7,2,0
2023-12-24,8,0,0
2023-12-31,13,4,0
2024-01-07,14,5,0
2024-01-14,17,5,0
2024-01-21,22,7,0
2024-01-28,26,7,0
2024-02-04,51,14,0
2024-02-11,68,18,0
2024-02-18,90,23,0
2024-02-25,89,24,0
2024-03-03,100,23,3
