Categoria: Todas as categorias

Semana,dengue: (Pernambuco),sintomas dengue: (Pernambuco)
2022-08-21,9,3
2022-08-28,7,1
2022-09-04,7,1
2022-09-11,7,2
2022-09-18,6,0
2022-09-25,6,0
2022-10-02,5,1
2022-10-09,5,2
2022-10-16,7,0
2022-10-23,5,1
2022-10-30,5,0
2022-11-06,7,2
2022-11-13,8,2
2022-11-20,6,0
2022-11-27,6,2
2022-12-04,4,0
2022-12-11,5,0
2022-12-18,5,2
2022-12-25,6,2
2023-01-01,7,2
2023-01-08,5,1
2023-01-15,5,1
2023-01-22,4,0
2023-01-29,6,1
2023-02-05,7,0
2023-02-12,8,1
2023-02-19,5,1
2023-02-26,9,2
2023-03-05,10,3
2023-03-12,10,3
2023-03-19,12,5
2023-03-26,19,5
2023-04-02,13,5
2023-04-09,15,4
2023-04-16,12,3
2023-04-23,14,3
2023-04-30,11,3
2023-05-07,11,2
2023-05-14,9,1
2023-05-21,9,2
2023-05-28,10,2
2023-06-04,8,2
2023-06-11,9,2
2023-06-18,7,2
2023-06-25,8,3
2023-07-02,12,1
2023-07-09,8,2
2023-07-16,7,0
2023-07-23,6,0
2023-07-30,6,0
2023-08-06,5,2
2023-08-13,6,2
2023-08-20,7,2
2023-08-27,7,2
2023-09-03,5,0
2023-09-10,6,0
2023-09-17,6,2
2023-09-24,6,2
2023-10-01,6,0
2023-10-08,5,2
2023-10-15,7,0
2023-10-22,5,0
2023-10-29,4,0
2023-11-05,7,2
2023-11-12,5,0
2023-11-19,8,0
2023-11-26,6,0
2023-12-03,7,3
2023-12-10,6,1
2023-12-17,7,3
2023-12-24,6,2
2023-12-31,9,2
2024-01-07,7,2
2024-01-14,7,2
2024-01-21,13,4
2024-01-28,22,3
2024-02-04,34,10
2024-02-11,57,16
2024-02-18,94,22
2024-02-25,100,22
2024-03-03,96,23
2024-03-10,90,20
2024-03-17,90,17
2024-03-24,62,16
2024-03-31,59,16
2024-04-07,67,15
2024-04-14,62,14
2024-04-21,74,14
2024-04-28,48,10
2024-05-05,39,8
2024-05-12,35,6
2024-05-19,32,6
2024-05-26,25,5
