Categoria: Todas as categorias

Semana,dengue: (Santa Catarina),sintomas dengue: (Santa Catarina)
2022-10-09,2,1
2022-10-16,3,1
2022-10-23,4,1
2022-10-30,3,1
2022-11-06,4,1
2022-11-13,4,1
2022-11-20,4,1
2022-11-27,3,1
2022-12-04,4,1
2022-12-11,4,2
2022-12-18,3,2
2022-12-25,4,2
2023-01-01,4,2
2023-01-08,4,1
2023-01-15,3,1
2023-01-22,4,1
2023-01-29,4,1
2023-02-05,4,1
2023-02-12,5,1
2023-02-19,5,2
2023-02-26,9,3
2023-03-05,14,5
2023-03-12,28,11
2023-03-19,39,14
2023-03-26,50,20
2023-04-02,67,20
2023-04-09,71,19
2023-04-16,58,17
2023-04-23,62,20
2023-04-30,61,19
2023-05-07,53,16
2023-05-14,49,14
2023-05-21,42,12
2023-05-28,28,9
2023-06-04,23,8
2023-06-11,16,5
2023-06-18,15,4
2023-06-25,12,4
2023-07-02,13,4
2023-07-09,8,2
2023-07-16,6,2
2023-07-23,6,2
2023-07-30,5,2
2023-08-06,5,1
2023-08-13,5,1
2023-08-20,5,2
2023-08-27,4,1
2023-09-03,4,1
2023-09-10,4,1
2023-09-17,5,1
2023-09-24,5,2
2023-10-01,4,1
2023-10-08,3,1
2023-10-15,4,1
2023-10-22,4,1
2023-10-29,4,1
2023-11-05,5,2
2023-11-12,4,1
2023-11-19,6,1
2023-11-26,6,2
2023-12-03,5,2
2023-12-10,6,2
2023-12-17,7,2
2023-12-24,7,2
2023-12-31,7,2
2024-01-07,9,3
2024-01-14,10,3
2024-01-21,14,4
2024-01-28,21,6
2024-02-04,37,10
2024-02-11,46,13
2024-02-18,86,22
2024-02-25,98,25
2024-03-03,90,23
2024-03-10,86,22
2024-03-17,90,23
2024-03-24,100,21
2024-03-31,100,23
2024-04-07,100,22
2024-04-14,92,17
2024-04-21,94,19
2024-04-28,80,16
2024-05-05,79,14
2024-05-12,55,12
2024-05-19,44,8
2024-05-26,24,6
2024-06-02,22,4
2024-06-09,20,4
2024-06-16,18,4
2024-06-23,14,3
2024-06-30,9,2
2024-07-07,7,1
