Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí)
2023-11-26,5,0
2023-12-03,3,0
2023-12-10,3,0
2023-12-17,2,0
2023-12-24,4,0
2023-12-31,4,0
2024-01-07,7,0
2024-01-14,5,2
2024-01-21,8,2
2024-01-28,15,3
2024-02-04,24,4
2024-02-11,31,4
2024-02-18,45,10
2024-02-25,48,11
2024-03-03,45,9
2024-03-10,51,11
2024-03-17,49,11
2024-03-24,38,9
2024-03-31,41,11
2024-04-07,39,9
2024-04-14,38,8
2024-04-21,28,6
2024-04-28,27,6
2024-05-05,46,6
2024-05-12,31,6
2024-05-19,74,13
2024-05-26,35,7
2024-06-02,31,5
2024-06-09,22,4
2024-06-16,17,3
2024-06-23,14,3
2024-06-30,10,3
2024-07-07,8,2
2024-07-14,11,2
2024-07-21,5,0
2024-07-28,6,2
2024-08-04,8,2
2024-08-11,8,2
2024-08-18,8,2
2024-08-25,7,0
2024-09-01,4,0
2024-09-08,5,0
2024-09-15,4,0
2024-09-22,4,0
2024-09-29,4,0
2024-10-06,3,0
2024-10-13,5,0
2024-10-20,3,0
2024-10-27,5,0
2024-11-03,4,0
2024-11-10,6,0
2024-11-17,4,0
2024-11-24,3,0
2024-12-01,4,0
2024-12-08,4,0
2024-12-15,5,0
2024-12-22,3,0
2024-12-29,5,0
2025-01-05,6,0
2025-01-12,7,0
2025-01-19,12,0
2025-01-26,9,0
2025-02-02,10,0
2025-02-09,11,1
2025-02-16,12,2
2025-02-23,12,2
