Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul),tratamento dengue: (Mato Grosso do Sul)
2023-01-15,15,4,0
2023-01-22,17,6,0
2023-01-29,21,5,0
2023-02-05,26,5,0
2023-02-12,34,10,0
2023-02-19,36,9,0
2023-02-26,37,10,0
2023-03-05,43,11,0
2023-03-12,45,14,0
2023-03-19,57,16,0
2023-03-26,71,21,0
2023-04-02,64,16,0
2023-04-09,66,18,2
2023-04-16,67,18,0
2023-04-23,67,13,2
2023-04-30,52,14,0
2023-05-07,51,11,2
2023-05-14,38,9,0
2023-05-21,41,12,0
2023-05-28,27,7,0
2023-06-04,18,4,0
2023-06-11,16,5,0
2023-06-18,17,2,0
2023-06-25,10,4,0
2023-07-02,15,0,0
2023-07-09,10,2,0
2023-07-16,8,0,0
2023-07-23,6,0,0
2023-07-30,7,2,0
2023-08-06,9,0,0
2023-08-13,9,0,0
2023-08-20,4,0,0
2023-08-27,8,0,0
2023-09-03,8,3,0
2023-09-10,8,2,0
2023-09-17,7,2,0
2023-09-24,7,2,0
2023-10-01,8,2,0
2023-10-08,6,3,0
2023-10-15,12,2,0
2023-10-22,7,3,0
2023-10-29,8,3,0
2023-11-05,9,2,2
2023-11-12,7,2,0
2023-11-19,6,0,0
2023-11-26,8,2,0
2023-12-03,9,0,0
2023-12-10,7,4,0
2023-12-17,7,0,0
2023-12-24,7,3,0
2023-12-31,15,2,0
2024-01-07,13,3,0
2024-01-14,16,3,0
2024-01-21,23,4,0
2024-01-28,28,5,0
2024-02-04,34,8,0
2024-02-11,48,10,0
2024-02-18,53,10,2
2024-02-25,58,10,0
2024-03-03,52,9,0
2024-03-10,49,12,<1
2024-03-17,50,10,1
2024-03-24,42,8,1
