Categoria: Todas as categorias

Semana,dengue: (Pará),sintomas dengue: (Pará),tratamento dengue: (Pará)
2021-03-28,7,2,0
2021-04-04,12,2,0
2021-04-11,9,4,0
2021-04-18,10,0,0
2021-04-25,9,0,0
2021-05-02,8,0,0
2021-05-09,7,2,0
2021-05-16,10,0,0
2021-05-23,10,0,0
2021-05-30,9,0,2
2021-06-06,9,0,0
2021-06-13,7,0,0
2021-06-20,10,0,0
2021-06-27,3,0,0
2021-07-04,4,0,0
2021-07-11,5,0,0
2021-07-18,5,2,0
2021-07-25,4,0,0
2021-08-01,4,0,0
2021-08-08,6,0,0
2021-08-15,5,0,0
2021-08-22,8,0,0
2021-08-29,5,0,0
2021-09-05,3,0,0
2021-09-12,2,0,0
2021-09-19,4,2,0
2021-09-26,4,0,0
2021-10-03,4,0,0
2021-10-10,3,0,0
2021-10-17,4,0,0
2021-10-24,5,0,0
2021-10-31,3,0,0
2021-11-07,7,0,0
2021-11-14,7,0,0
2021-11-21,8,0,0
2021-11-28,10,0,0
2021-12-05,8,3,0
2021-12-12,12,4,0
2021-12-19,12,4,0
2021-12-26,11,4,0
2022-01-02,14,4,0
2022-01-09,14,5,0
2022-01-16,17,6,0
2022-01-23,19,5,0
2022-01-30,15,4,0
2022-02-06,9,2,0
2022-02-13,9,2,0
2022-02-20,13,3,0
2022-02-27,9,0,0
2022-03-06,13,3,0
2022-03-13,16,3,0
2022-03-20,12,3,0
2022-03-27,15,4,0
2022-04-03,13,2,0
2022-04-10,11,2,0
2022-04-17,14,4,0
2022-04-24,15,5,1
2022-05-01,16,4,0
2022-05-08,18,5,0
2022-05-15,13,2,0
2022-05-22,12,2,0
2022-05-29,12,2,0
2022-06-05,11,2,0
2022-06-12,8,2,0
2022-06-19,10,3,0
2022-06-26,10,2,0
2022-07-03,8,3,0
2022-07-10,5,0,0
2022-07-17,6,2,0
2022-07-24,6,0,0
2022-07-31,4,0,0
2022-08-07,6,0,0
2022-08-14,8,0,0
2022-08-21,6,2,0
2022-08-28,7,0,0
2022-09-04,4,0,0
2022-09-11,6,0,0
2022-09-18,8,2,0
2022-09-25,7,1,0
2022-10-02,7,2,0
2022-10-09,5,0,0
2022-10-16,9,2,0
2022-10-23,7,2,0
2022-10-30,6,0,0
2022-11-06,8,2,0
2022-11-13,7,0,0
2022-11-20,7,0,0
2022-11-27,7,2,0
2022-12-04,10,3,0
2022-12-11,10,4,0
2022-12-18,8,0,0
2022-12-25,10,3,0
2023-01-01,8,2,0
2023-01-08,7,3,0
2023-01-15,8,3,0
2023-01-22,10,2,0
2023-01-29,11,3,0
2023-02-05,11,3,0
2023-02-12,11,6,0
2023-02-19,11,4,0
2023-02-26,14,5,0
2023-03-05,17,5,0
2023-03-12,25,6,0
2023-03-19,21,5,0
2023-03-26,25,6,0
2023-04-02,19,7,0
2023-04-09,17,5,0
2023-04-16,18,6,0
2023-04-23,14,4,0
2023-04-30,14,5,0
2023-05-07,12,3,0
2023-05-14,16,6,0
2023-05-21,15,3,0
2023-05-28,12,4,0
2023-06-04,11,3,0
2023-06-11,15,3,0
2023-06-18,11,3,0
2023-06-25,11,2,0
2023-07-02,11,2,0
2023-07-09,10,0,0
2023-07-16,6,0,0
2023-07-23,6,0,0
2023-07-30,6,0,0
2023-08-06,4,0,0
2023-08-13,7,0,0
2023-08-20,5,0,0
2023-08-27,8,2,0
2023-09-03,9,2,0
2023-09-10,10,2,0
2023-09-17,11,0,0
2023-09-24,6,0,0
2023-10-01,5,0,0
2023-10-08,6,0,0
2023-10-15,9,3,0
2023-10-22,5,0,0
2023-10-29,6,2,0
2023-11-05,7,0,2
2023-11-12,9,2,0
2023-11-19,7,0,0
2023-11-26,7,0,0
2023-12-03,5,2,0
2023-12-10,5,3,2
2023-12-17,8,3,0
2023-12-24,8,2,0
2023-12-31,13,4,0
2024-01-07,14,4,0
2024-01-14,17,2,0
2024-01-21,22,8,0
2024-01-28,29,6,0
2024-02-04,54,16,0
2024-02-11,72,19,0
2024-02-18,94,23,0
2024-02-25,94,28,0
2024-03-03,100,24,3
2024-03-10,88,22,1
2024-03-17,94,22,1
2024-03-24,72,19,1
