Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas),tratamento dengue: (Amazonas)
2022-08-14,9,0,0
2022-08-21,9,0,0
2022-08-28,6,0,0
2022-09-04,5,4,0
2022-09-11,8,0,0
2022-09-18,8,0,0
2022-09-25,8,0,0
2022-10-02,4,0,0
2022-10-09,7,0,0
2022-10-16,9,0,0
2022-10-23,8,0,0
2022-10-30,5,0,0
2022-11-06,14,0,0
2022-11-13,8,0,0
2022-11-20,13,0,3
2022-11-27,12,0,0
2022-12-04,9,0,0
2022-12-11,10,7,0
2022-12-18,11,4,0
2022-12-25,10,4,0
2023-01-01,10,3,0
2023-01-08,7,0,0
2023-01-15,11,4,0
2023-01-22,10,0,0
2023-01-29,10,5,0
2023-02-05,12,0,0
2023-02-12,16,5,0
2023-02-19,15,0,0
2023-02-26,22,4,0
2023-03-05,15,3,0
2023-03-12,16,4,0
2023-03-19,18,6,0
2023-03-26,18,4,0
2023-04-02,15,4,0
2023-04-09,17,5,0
2023-04-16,15,4,0
2023-04-23,16,4,0
2023-04-30,12,4,0
2023-05-07,19,6,0
2023-05-14,15,5,0
2023-05-21,15,4,0
2023-05-28,13,5,0
2023-06-04,10,0,0
2023-06-11,12,3,0
2023-06-18,13,0,0
2023-06-25,12,4,0
2023-07-02,13,0,0
2023-07-09,13,0,0
2023-07-16,9,4,0
2023-07-23,9,0,0
2023-07-30,11,0,0
2023-08-06,12,0,0
2023-08-13,9,4,0
2023-08-20,8,0,0
2023-08-27,10,0,0
2023-09-03,4,0,0
2023-09-10,8,0,0
2023-09-17,9,4,0
2023-09-24,8,0,0
2023-10-01,8,0,0
2023-10-08,7,0,0
2023-10-15,11,0,0
2023-10-22,8,0,0
2023-10-29,9,0,0
2023-11-05,10,8,0
2023-11-12,10,0,0
2023-11-19,11,0,0
2023-11-26,10,0,0
2023-12-03,15,0,0
2023-12-10,18,4,0
2023-12-17,28,11,0
2023-12-24,55,18,6
2023-12-31,92,31,0
2024-01-07,84,22,0
2024-01-14,94,29,0
2024-01-21,88,23,5
2024-01-28,63,18,0
2024-02-04,71,21,0
2024-02-11,76,20,0
2024-02-18,100,23,0
2024-02-25,91,20,0
2024-03-03,83,16,0
2024-03-10,67,13,1
2024-03-17,61,11,1
2024-03-24,48,11,1
