Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte),tratamento dengue: (Rio Grande do Norte)
2021-09-26,5,0,0
2021-10-03,6,0,0
2021-10-10,0,0,0
2021-10-17,6,0,0
2021-10-24,4,0,0
2021-10-31,4,0,0
2021-11-07,6,0,0
2021-11-14,4,0,0
2021-11-21,4,0,0
2021-11-28,5,0,0
2021-12-05,5,0,0
2021-12-12,6,0,0
2021-12-19,4,0,0
2021-12-26,4,0,0
2022-01-02,12,0,0
2022-01-09,8,0,0
2022-01-16,7,0,0
2022-01-23,9,3,0
2022-01-30,7,0,0
2022-02-06,6,0,0
2022-02-13,4,5,0
2022-02-20,9,0,0
2022-02-27,7,0,0
2022-03-06,14,0,3
2022-03-13,16,3,0
2022-03-20,22,5,0
2022-03-27,26,7,0
2022-04-03,32,10,0
2022-04-10,43,15,0
2022-04-17,67,23,2
2022-04-24,89,26,0
2022-05-01,81,23,3
2022-05-08,83,29,0
2022-05-15,100,33,0
2022-05-22,94,28,0
2022-05-29,96,28,0
2022-06-05,90,26,0
2022-06-12,89,28,4
2022-06-19,71,23,0
2022-06-26,66,23,0
2022-07-03,56,20,0
2022-07-10,51,15,0
2022-07-17,47,12,2
2022-07-24,40,13,0
2022-07-31,33,8,0
2022-08-07,23,9,0
2022-08-14,30,10,0
2022-08-21,21,5,0
2022-08-28,17,4,0
2022-09-04,15,3,0
2022-09-11,10,3,0
2022-09-18,13,3,0
2022-09-25,8,4,0
2022-10-02,7,2,0
2022-10-09,9,2,0
2022-10-16,6,2,0
2022-10-23,5,0,0
2022-10-30,8,0,0
2022-11-06,7,0,0
2022-11-13,7,0,0
2022-11-20,6,0,0
2022-11-27,7,0,0
2022-12-04,8,0,0
2022-12-11,6,0,0
2022-12-18,5,0,0
2022-12-25,8,0,0
2023-01-01,7,0,0
2023-01-08,5,0,0
2023-01-15,8,0,0
2023-01-22,8,0,0
2023-01-29,6,0,0
2023-02-05,5,0,0
2023-02-12,6,0,0
2023-02-19,6,4,0
2023-02-26,13,0,0
2023-03-05,10,0,0
2023-03-12,10,2,0
2023-03-19,12,4,0
2023-03-26,21,4,0
2023-04-02,18,5,0
2023-04-09,22,6,0
2023-04-16,23,10,0
2023-04-23,17,3,0
2023-04-30,15,5,0
2023-05-07,13,4,0
2023-05-14,13,3,0
2023-05-21,13,0,0
2023-05-28,9,0,0
2023-06-04,9,0,0
2023-06-11,8,2,0
2023-06-18,9,4,0
2023-06-25,8,4,0
2023-07-02,11,3,0
2023-07-09,9,0,0
2023-07-16,6,0,0
2023-07-23,8,0,0
2023-07-30,5,0,0
2023-08-06,5,0,0
2023-08-13,7,0,0
2023-08-20,6,0,0
2023-08-27,5,0,0
2023-09-03,6,0,0
2023-09-10,5,0,0
2023-09-17,5,0,0
2023-09-24,5,0,0
2023-10-01,7,0,0
2023-10-08,6,0,0
2023-10-15,5,0,0
2023-10-22,7,0,0
2023-10-29,3,0,0
2023-11-05,7,0,3
2023-11-12,7,0,0
2023-11-19,4,3,0
2023-11-26,8,3,0
2023-12-03,8,0,0
2023-12-10,7,0,0
2023-12-17,8,0,0
2023-12-24,7,0,0
2023-12-31,8,0,4
2024-01-07,10,0,0
2024-01-14,11,5,0
2024-01-21,15,3,0
2024-01-28,19,5,0
2024-02-04,30,8,0
2024-02-11,53,16,0
2024-02-18,85,18,0
2024-02-25,90,22,0
2024-03-03,99,20,4
2024-03-10,96,23,4
2024-03-17,97,21,1
2024-03-24,73,18,1
