Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí),tratamento dengue: (Piauí)
2022-04-17,100,29,0
2022-04-24,98,27,5
2022-05-01,92,25,0
2022-05-08,80,22,0
2022-05-15,71,19,2
2022-05-22,51,15,0
2022-05-29,46,14,0
2022-06-05,44,12,0
2022-06-12,36,13,0
2022-06-19,26,9,0
2022-06-26,31,10,0
2022-07-03,24,10,0
2022-07-10,17,5,0
2022-07-17,12,3,0
2022-07-24,8,3,0
2022-07-31,9,3,0
2022-08-07,8,2,0
2022-08-14,6,2,0
2022-08-21,5,0,0
2022-08-28,3,0,0
2022-09-04,5,0,0
2022-09-11,2,0,0
2022-09-18,2,0,0
2022-09-25,4,0,0
2022-10-02,6,0,0
2022-10-09,5,2,0
2022-10-16,4,0,0
2022-10-23,3,0,0
2022-10-30,6,0,0
2022-11-06,4,0,2
2022-11-13,5,2,0
2022-11-20,2,0,0
2022-11-27,5,0,0
2022-12-04,3,0,0
2022-12-11,6,2,0
2022-12-18,4,0,0
2022-12-25,4,0,0
2023-01-01,5,0,0
2023-01-08,5,3,0
2023-01-15,8,0,0
2023-01-22,5,2,0
2023-01-29,7,3,0
2023-02-05,8,0,0
2023-02-12,10,3,0
2023-02-19,10,2,0
2023-02-26,16,6,2
2023-03-05,14,2,0
2023-03-12,14,4,0
2023-03-19,21,5,0
2023-03-26,21,6,0
2023-04-02,20,9,2
2023-04-09,22,9,0
2023-04-16,23,9,0
2023-04-23,20,7,0
2023-04-30,16,5,0
2023-05-07,21,7,0
2023-05-14,15,5,0
2023-05-21,10,2,0
2023-05-28,14,3,0
2023-06-04,8,3,0
2023-06-11,12,2,0
2023-06-18,9,3,0
2023-06-25,8,3,0
2023-07-02,6,0,0
2023-07-09,5,0,0
2023-07-16,4,0,0
2023-07-23,0,0,0
2023-07-30,3,0,0
2023-08-06,0,0,0
2023-08-13,5,0,0
2023-08-20,2,0,0
2023-08-27,4,0,0
2023-09-03,3,0,0
2023-09-10,4,0,0
2023-09-17,5,4,0
2023-09-24,2,0,0
2023-10-01,3,0,0
2023-10-08,3,0,0
2023-10-15,3,0,0
2023-10-22,6,0,0
2023-10-29,2,0,0
2023-11-05,0,0,0
2023-11-12,3,0,0
2023-11-19,4,0,0
2023-11-26,5,0,0
2023-12-03,3,0,0
2023-12-10,3,0,0
2023-12-17,3,0,0
2023-12-24,7,0,0
2023-12-31,4,2,0
2024-01-07,6,0,0
2024-01-14,6,2,2
2024-01-21,11,2,0
2024-01-28,17,3,0
2024-02-04,26,5,0
2024-02-11,32,6,0
2024-02-18,44,9,0
2024-02-25,49,12,0
2024-03-03,46,9,0
2024-03-10,50,10,<1
2024-03-17,52,11,1
2024-03-24,43,9,<1
