Categoria: Todas as categorias

Semana,dengue: (Minas Gerais),sintomas dengue: (Minas Gerais)
2022-02-27,3,1
2022-03-06,3,1
2022-03-13,4,1
2022-03-20,4,1
2022-03-27,5,1
2022-04-03,5,1
2022-04-10,5,2
2022-04-17,7,2
2022-04-24,7,2
2022-05-01,8,2
2022-05-08,9,2
2022-05-15,7,2
2022-05-22,6,2
2022-05-29,6,2
2022-06-05,5,1
2022-06-12,4,1
2022-06-19,4,1
2022-06-26,3,1
2022-07-03,2,1
2022-07-10,2,1
2022-07-17,2,1
2022-07-24,2,1
2022-07-31,2,<1
2022-08-07,2,<1
2022-08-14,1,<1
2022-08-21,2,<1
2022-08-28,2,<1
2022-09-04,2,<1
2022-09-11,2,<1
2022-09-18,2,1
2022-09-25,2,<1
2022-10-02,1,<1
2022-10-09,2,<1
2022-10-16,2,1
2022-10-23,2,1
2022-10-30,2,<1
2022-11-06,2,1
2022-11-13,2,1
2022-11-20,2,1
2022-11-27,2,1
2022-12-04,2,1
2022-12-11,3,1
2022-12-18,3,1
2022-12-25,4,1
2023-01-01,3,1
2023-01-08,4,1
2023-01-15,5,1
2023-01-22,5,1
2023-01-29,6,2
2023-02-05,8,2
2023-02-12,9,3
2023-02-19,11,3
2023-02-26,12,4
2023-03-05,14,4
2023-03-12,17,5
2023-03-19,22,7
2023-03-26,28,8
2023-04-02,22,7
2023-04-09,23,7
2023-04-16,26,7
2023-04-23,22,6
2023-04-30,22,7
2023-05-07,21,6
2023-05-14,16,5
2023-05-21,13,4
2023-05-28,10,3
2023-06-04,8,2
2023-06-11,8,2
2023-06-18,6,2
2023-06-25,5,1
2023-07-02,5,1
2023-07-09,3,1
2023-07-16,3,1
2023-07-23,2,1
2023-07-30,2,1
2023-08-06,2,1
2023-08-13,2,1
2023-08-20,2,<1
2023-08-27,2,1
2023-09-03,2,1
2023-09-10,2,1
2023-09-17,2,1
2023-09-24,2,1
2023-10-01,2,1
2023-10-08,2,1
2023-10-15,3,1
2023-10-22,3,1
2023-10-29,2,1
2023-11-05,3,1
2023-11-12,3,1
2023-11-19,4,1
2023-11-26,4,1
2023-12-03,5,1
2023-12-10,6,1
2023-12-17,7,2
2023-12-24,9,2
2023-12-31,11,3
2024-01-07,14,4
2024-01-14,21,5
2024-01-21,34,7
2024-01-28,50,10
2024-02-04,68,12
2024-02-11,76,16
2024-02-18,92,15
2024-02-25,100,16
