Categoria: Todas as categorias

Semana,dengue: (Paraíba),sintomas dengue: (Paraíba),tratamento dengue: (Paraíba)
2023-07-02,8,0,0
2023-07-09,9,3,0
2023-07-16,8,2,0
2023-07-23,9,3,0
2023-07-30,3,0,0
2023-08-06,4,0,0
2023-08-13,8,2,0
2023-08-20,5,0,0
2023-08-27,7,0,3
2023-09-03,5,0,0
2023-09-10,4,0,0
2023-09-17,5,0,0
2023-09-24,6,0,0
2023-10-01,6,0,0
2023-10-08,5,0,0
2023-10-15,6,0,0
2023-10-22,5,0,0
2023-10-29,4,0,0
2023-11-05,6,0,0
2023-11-12,6,0,0
2023-11-19,6,0,0
2023-11-26,6,0,0
2023-12-03,6,0,0
2023-12-10,5,0,0
2023-12-17,6,3,0
2023-12-24,8,0,0
2023-12-31,7,0,0
2024-01-07,6,0,0
2024-01-14,8,0,0
2024-01-21,15,5,0
2024-01-28,16,5,0
2024-02-04,27,3,0
2024-02-11,55,14,0
2024-02-18,95,20,0
2024-02-25,99,19,0
2024-03-03,100,23,0
2024-03-10,89,17,0
2024-03-17,82,20,0
2024-03-24,58,13,<1
2024-03-31,60,13,1
2024-04-07,62,13,1
