Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso),tratamento dengue: (Mato Grosso)
2022-01-16,44,17,0
2022-01-23,50,17,0
2022-01-30,37,8,0
2022-02-06,31,9,0
2022-02-13,32,7,0
2022-02-20,32,7,0
2022-02-27,31,6,0
2022-03-06,29,5,0
2022-03-13,31,8,0
2022-03-20,35,9,0
2022-03-27,38,9,0
2022-04-03,42,11,0
2022-04-10,37,7,0
2022-04-17,45,10,0
2022-04-24,42,8,2
2022-05-01,38,9,2
2022-05-08,37,9,0
2022-05-15,33,9,0
2022-05-22,29,7,0
2022-05-29,23,8,2
2022-06-05,27,8,4
2022-06-12,22,7,0
2022-06-19,25,9,0
2022-06-26,27,7,0
2022-07-03,20,7,0
2022-07-10,20,6,0
2022-07-17,16,5,0
2022-07-24,12,5,0
2022-07-31,11,3,0
2022-08-07,7,0,0
2022-08-14,7,0,0
2022-08-21,11,3,0
2022-08-28,9,3,0
2022-09-04,10,0,0
2022-09-11,10,0,0
2022-09-18,8,3,0
2022-09-25,9,4,0
2022-10-02,10,0,0
2022-10-09,9,0,0
2022-10-16,10,2,0
2022-10-23,12,3,0
2022-10-30,9,2,0
2022-11-06,13,4,0
2022-11-13,15,5,0
2022-11-20,12,3,0
2022-11-27,13,3,0
2022-12-04,13,5,0
2022-12-11,18,5,0
2022-12-18,12,5,0
2022-12-25,23,6,0
2023-01-01,19,4,0
2023-01-08,21,5,0
2023-01-15,24,5,2
2023-01-22,19,6,0
2023-01-29,24,5,2
2023-02-05,29,6,0
2023-02-12,30,7,0
2023-02-19,37,12,0
2023-02-26,39,11,0
2023-03-05,34,13,0
2023-03-12,41,10,0
2023-03-19,36,11,0
2023-03-26,62,20,0
2023-04-02,55,19,0
2023-04-09,55,16,0
2023-04-16,47,15,0
2023-04-23,48,13,0
2023-04-30,43,11,0
2023-05-07,35,10,0
2023-05-14,33,8,0
2023-05-21,30,10,0
2023-05-28,30,7,0
2023-06-04,25,6,0
2023-06-11,17,3,0
2023-06-18,17,4,0
2023-06-25,12,3,0
2023-07-02,20,5,0
2023-07-09,12,4,0
2023-07-16,13,3,0
2023-07-23,9,0,0
2023-07-30,12,4,0
2023-08-06,12,3,0
2023-08-13,11,4,0
2023-08-20,11,0,0
2023-08-27,9,4,0
2023-09-03,10,0,0
2023-09-10,10,3,0
2023-09-17,7,0,0
2023-09-24,8,0,0
2023-10-01,15,4,0
2023-10-08,8,0,0
2023-10-15,6,0,0
2023-10-22,13,0,0
2023-10-29,11,4,0
2023-11-05,11,3,0
2023-11-12,13,5,0
2023-11-19,12,3,0
2023-11-26,14,6,0
2023-12-03,13,2,0
2023-12-10,13,4,0
2023-12-17,16,4,0
2023-12-24,15,6,0
2023-12-31,23,5,0
2024-01-07,29,7,0
2024-01-14,29,8,0
2024-01-21,37,10,0
2024-01-28,50,11,0
2024-02-04,57,15,0
2024-02-11,91,19,0
2024-02-18,88,21,0
2024-02-25,100,18,0
2024-03-03,77,16,0
2024-03-10,76,17,0
2024-03-17,69,15,0
2024-03-24,56,12,1
2024-03-31,75,16,1
2024-04-07,73,16,1
