Categoria: Todas as categorias

Semana,dengue: (Ceará),sintomas dengue: (Ceará),tratamento dengue: (Ceará)
2021-11-14,7,0,0
2021-11-21,5,0,0
2021-11-28,6,0,0
2021-12-05,6,2,0
2021-12-12,6,2,0
2021-12-19,6,0,0
2021-12-26,7,2,0
2022-01-02,11,3,0
2022-01-09,15,5,0
2022-01-16,15,6,0
2022-01-23,13,3,0
2022-01-30,14,4,0
2022-02-06,16,4,0
2022-02-13,20,4,0
2022-02-20,20,4,0
2022-02-27,22,7,0
2022-03-06,25,5,0
2022-03-13,25,7,0
2022-03-20,32,8,0
2022-03-27,34,8,1
2022-04-03,34,10,0
2022-04-10,34,9,0
2022-04-17,47,15,1
2022-04-24,54,15,1
2022-05-01,56,16,1
2022-05-08,53,14,2
2022-05-15,54,17,1
2022-05-22,52,17,1
2022-05-29,57,18,1
2022-06-05,51,16,0
2022-06-12,52,17,0
2022-06-19,49,16,0
2022-06-26,44,14,1
2022-07-03,40,13,1
2022-07-10,34,10,1
2022-07-17,25,7,0
2022-07-24,26,8,0
2022-07-31,25,6,0
2022-08-07,18,5,0
2022-08-14,16,4,0
2022-08-21,16,3,0
2022-08-28,15,4,0
2022-09-04,12,4,0
2022-09-11,14,3,0
2022-09-18,11,3,0
2022-09-25,11,2,0
2022-10-02,8,2,0
2022-10-09,9,2,0
2022-10-16,9,2,0
2022-10-23,8,2,0
2022-10-30,8,2,0
2022-11-06,7,1,0
2022-11-13,7,2,0
2022-11-20,9,3,0
2022-11-27,6,2,0
2022-12-04,7,3,0
2022-12-11,7,1,0
2022-12-18,5,0,0
2022-12-25,5,3,0
2023-01-01,7,2,1
2023-01-08,6,1,0
2023-01-15,7,0,0
2023-01-22,7,2,0
2023-01-29,10,3,0
2023-02-05,11,2,0
2023-02-12,14,3,0
2023-02-19,16,5,0
2023-02-26,19,5,0
2023-03-05,21,6,0
2023-03-12,25,7,0
2023-03-19,29,9,0
2023-03-26,33,9,1
2023-04-02,25,8,0
2023-04-09,24,8,0
2023-04-16,22,7,0
2023-04-23,20,5,0
2023-04-30,19,5,0
2023-05-07,17,5,0
2023-05-14,19,5,0
2023-05-21,18,4,0
2023-05-28,15,3,0
2023-06-04,12,3,1
2023-06-11,14,3,0
2023-06-18,16,3,0
2023-06-25,12,3,0
2023-07-02,17,1,0
2023-07-09,10,2,0
2023-07-16,9,3,0
2023-07-23,11,3,0
2023-07-30,7,2,0
2023-08-06,6,1,0
2023-08-13,8,1,0
2023-08-20,10,2,0
2023-08-27,8,0,0
2023-09-03,5,0,0
2023-09-10,6,0,0
2023-09-17,7,0,0
2023-09-24,7,1,0
2023-10-01,10,0,0
2023-10-08,6,0,1
2023-10-15,6,1,0
2023-10-22,5,0,0
2023-10-29,5,1,0
2023-11-05,6,1,0
2023-11-12,8,2,0
2023-11-19,8,2,1
2023-11-26,8,1,0
2023-12-03,8,2,0
2023-12-10,7,1,0
2023-12-17,9,2,1
2023-12-24,6,0,0
2023-12-31,6,2,0
2024-01-07,8,3,0
2024-01-14,9,2,0
2024-01-21,13,3,0
2024-01-28,18,5,0
2024-02-04,28,6,0
2024-02-11,49,15,0
2024-02-18,82,19,0
2024-02-25,97,21,0
2024-03-03,100,23,0
2024-03-10,79,19,0
2024-03-17,75,18,1
2024-03-24,56,15,1
2024-03-31,68,16,1
2024-04-07,66,17,1
