Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí)
2022-10-30,4,0
2022-11-06,4,0
2022-11-13,6,0
2022-11-20,3,0
2022-11-27,4,0
2022-12-04,3,0
2022-12-11,5,0
2022-12-18,4,0
2022-12-25,3,0
2023-01-01,5,2
2023-01-08,4,2
2023-01-15,7,2
2023-01-22,6,0
2023-01-29,8,2
2023-02-05,6,2
2023-02-12,9,3
2023-02-19,11,3
2023-02-26,15,4
2023-03-05,13,3
2023-03-12,14,4
2023-03-19,15,5
2023-03-26,21,6
2023-04-02,17,5
2023-04-09,20,7
2023-04-16,19,6
2023-04-23,20,4
2023-04-30,15,4
2023-05-07,18,6
2023-05-14,16,3
2023-05-21,12,2
2023-05-28,12,4
2023-06-04,8,3
2023-06-11,10,3
2023-06-18,8,3
2023-06-25,7,2
2023-07-02,8,0
2023-07-09,5,2
2023-07-16,4,2
2023-07-23,3,2
2023-07-30,4,0
2023-08-06,4,2
2023-08-13,4,0
2023-08-20,2,0
2023-08-27,3,0
2023-09-03,3,0
2023-09-10,4,0
2023-09-17,3,0
2023-09-24,2,0
2023-10-01,3,0
2023-10-08,3,0
2023-10-15,3,0
2023-10-22,3,0
2023-10-29,2,1
2023-11-05,2,0
2023-11-12,3,0
2023-11-19,4,0
2023-11-26,4,0
2023-12-03,3,0
2023-12-10,3,0
2023-12-17,3,0
2023-12-24,4,0
2023-12-31,5,0
2024-01-07,6,0
2024-01-14,5,2
2024-01-21,9,2
2024-01-28,14,3
2024-02-04,22,2
2024-02-11,31,4
2024-02-18,45,9
2024-02-25,48,11
2024-03-03,45,9
2024-03-10,51,11
2024-03-17,49,11
2024-03-24,39,9
2024-03-31,41,10
2024-04-07,39,10
2024-04-14,37,8
2024-04-21,27,6
2024-04-28,27,6
2024-05-05,45,7
2024-05-12,30,7
2024-05-19,74,13
2024-05-26,35,7
2024-06-02,29,4
2024-06-09,21,4
2024-06-16,16,3
2024-06-23,13,3
2024-06-30,10,2
2024-07-07,8,0
2024-07-14,10,0
2024-07-21,5,0
2024-07-28,5,2
2024-08-04,10,0
2024-08-11,8,2
2024-08-18,9,2
2024-08-25,7,0
2024-09-01,4,0
2024-09-08,5,0
2024-09-15,4,0
2024-09-22,4,0
2024-09-29,4,0
2024-10-06,4,0
2024-10-13,4,0
2024-10-20,3,0
2024-10-27,4,0
2024-11-03,3,0
2024-11-10,6,0
2024-11-17,4,0
2024-11-24,3,0
2024-12-01,3,0
2024-12-08,4,0
2024-12-15,4,0
2024-12-22,3,0
2024-12-29,5,0
2025-01-05,5,0
2025-01-12,7,0
2025-01-19,11,0
2025-01-26,9,1
2025-02-02,11,2
2025-02-09,11,2
