Categoria: Todas as categorias

Semana,dengue: (Acre),sintomas dengue: (Acre),tratamento dengue: (Acre)
2022-01-30,9,0,0
2022-02-06,0,0,0
2022-02-13,9,0,0
2022-02-20,7,0,0
2022-02-27,6,0,0
2022-03-06,5,0,0
2022-03-13,15,0,0
2022-03-20,11,0,0
2022-03-27,12,0,0
2022-04-03,8,0,0
2022-04-10,8,0,0
2022-04-17,8,5,0
2022-04-24,7,0,0
2022-05-01,9,0,0
2022-05-08,10,0,0
2022-05-15,5,0,0
2022-05-22,9,0,0
2022-05-29,0,0,0
2022-06-05,6,0,0
2022-06-12,0,0,0
2022-06-19,5,0,0
2022-06-26,0,0,0
2022-07-03,0,0,0
2022-07-10,9,0,0
2022-07-17,0,0,0
2022-07-24,10,0,0
2022-07-31,5,0,0
2022-08-07,5,0,0
2022-08-14,0,0,0
2022-08-21,6,0,0
2022-08-28,0,0,0
2022-09-04,0,0,0
2022-09-11,6,0,0
2022-09-18,0,0,0
2022-09-25,0,0,0
2022-10-02,0,0,0
2022-10-09,0,0,0
2022-10-16,0,0,0
2022-10-23,5,0,0
2022-10-30,0,0,0
2022-11-06,0,0,0
2022-11-13,10,0,0
2022-11-20,7,0,0
2022-11-27,8,0,0
2022-12-04,8,0,0
2022-12-11,6,0,0
2022-12-18,8,0,0
2022-12-25,7,0,0
2023-01-01,9,0,0
2023-01-08,7,0,0
2023-01-15,6,0,0
2023-01-22,0,0,0
2023-01-29,12,7,0
2023-02-05,15,8,0
2023-02-12,23,0,0
2023-02-19,10,0,0
2023-02-26,13,0,0
2023-03-05,19,5,0
2023-03-12,16,0,0
2023-03-19,15,5,0
2023-03-26,16,8,0
2023-04-02,21,9,0
2023-04-09,26,10,0
2023-04-16,26,7,0
2023-04-23,20,0,0
2023-04-30,8,0,0
2023-05-07,11,5,0
2023-05-14,16,0,0
2023-05-21,8,0,0
2023-05-28,11,0,0
2023-06-04,0,0,0
2023-06-11,0,0,0
2023-06-18,9,0,0
2023-06-25,0,0,0
2023-07-02,0,0,0
2023-07-09,6,0,0
2023-07-16,0,0,0
2023-07-23,0,0,0
2023-07-30,6,0,0
2023-08-06,0,7,0
2023-08-13,0,0,0
2023-08-20,7,0,0
2023-08-27,0,0,0
2023-09-03,0,0,0
2023-09-10,0,7,0
2023-09-17,7,0,0
2023-09-24,0,0,0
2023-10-01,0,0,0
2023-10-08,8,0,0
2023-10-15,10,0,0
2023-10-22,7,0,0
2023-10-29,7,0,0
2023-11-05,11,0,0
2023-11-12,11,0,0
2023-11-19,26,0,0
2023-11-26,24,9,0
2023-12-03,39,12,0
2023-12-10,82,20,0
2023-12-17,97,22,0
2023-12-24,100,19,0
2023-12-31,97,17,0
2024-01-07,96,18,0
2024-01-14,63,0,0
2024-01-21,39,7,0
2024-01-28,33,12,0
2024-02-04,28,0,0
2024-02-11,45,0,0
2024-02-18,36,0,0
2024-02-25,20,0,0
2024-03-03,27,0,0
