Categoria: Todas as categorias

Semana,dengue: (Ceará),sintomas dengue: (Ceará),tratamento dengue: (Ceará)
2022-06-05,56,16,1
2022-06-12,58,18,2
2022-06-19,54,17,0
2022-06-26,49,15,0
2022-07-03,44,14,0
2022-07-10,34,10,0
2022-07-17,28,8,0
2022-07-24,29,9,0
2022-07-31,27,7,0
2022-08-07,20,6,0
2022-08-14,16,4,0
2022-08-21,17,3,0
2022-08-28,16,6,0
2022-09-04,13,5,0
2022-09-11,15,4,0
2022-09-18,12,3,0
2022-09-25,10,3,0
2022-10-02,10,2,0
2022-10-09,10,3,0
2022-10-16,9,2,0
2022-10-23,9,2,0
2022-10-30,9,0,0
2022-11-06,8,2,0
2022-11-13,8,2,0
2022-11-20,10,3,0
2022-11-27,7,2,0
2022-12-04,7,3,0
2022-12-11,7,1,0
2022-12-18,5,1,0
2022-12-25,7,3,0
2023-01-01,8,1,0
2023-01-08,6,2,0
2023-01-15,7,2,0
2023-01-22,9,2,1
2023-01-29,11,2,0
2023-02-05,11,2,0
2023-02-12,14,3,0
2023-02-19,17,5,0
2023-02-26,20,5,0
2023-03-05,22,7,0
2023-03-12,27,8,0
2023-03-19,34,9,0
2023-03-26,37,11,0
2023-04-02,28,10,0
2023-04-09,26,9,0
2023-04-16,23,7,0
2023-04-23,20,6,0
2023-04-30,20,5,0
2023-05-07,18,5,0
2023-05-14,20,6,0
2023-05-21,18,5,0
2023-05-28,15,4,0
2023-06-04,13,3,0
2023-06-11,15,3,0
2023-06-18,17,4,0
2023-06-25,13,3,0
2023-07-02,20,4,0
2023-07-09,11,4,0
2023-07-16,11,2,0
2023-07-23,12,3,0
2023-07-30,8,2,0
2023-08-06,7,3,0
2023-08-13,10,2,0
2023-08-20,10,3,0
2023-08-27,8,0,0
2023-09-03,6,0,0
2023-09-10,8,0,0
2023-09-17,7,0,0
2023-09-24,8,0,0
2023-10-01,10,2,0
2023-10-08,5,0,0
2023-10-15,7,1,0
2023-10-22,4,0,0
2023-10-29,6,2,0
2023-11-05,7,2,0
2023-11-12,8,2,0
2023-11-19,8,1,0
2023-11-26,8,2,0
2023-12-03,8,2,0
2023-12-10,9,2,0
2023-12-17,9,2,0
2023-12-24,7,0,0
2023-12-31,8,2,0
2024-01-07,10,2,0
2024-01-14,9,2,0
2024-01-21,14,4,0
2024-01-28,20,4,0
2024-02-04,30,6,0
2024-02-11,55,17,0
2024-02-18,87,20,0
2024-02-25,100,23,0
