Categoria: Todas as categorias

Semana,dengue: (Rondônia),sintomas dengue: (Rondônia),tratamento dengue: (Rondônia)
2020-09-20,7,0,0
2020-09-27,8,0,0
2020-10-04,7,0,0
2020-10-11,7,7,0
2020-10-18,0,0,0
2020-10-25,0,0,0
2020-11-01,5,0,0
2020-11-08,6,8,0
2020-11-15,8,0,0
2020-11-22,10,0,0
2020-11-29,15,0,0
2020-12-06,14,6,0
2020-12-13,14,0,0
2020-12-20,10,0,0
2020-12-27,11,7,0
2021-01-03,16,0,0
2021-01-10,21,8,0
2021-01-17,16,11,0
2021-01-24,20,0,5
2021-01-31,5,0,0
2021-02-07,16,7,0
2021-02-14,14,6,0
2021-02-21,26,10,0
2021-02-28,21,10,0
2021-03-07,28,8,0
2021-03-14,21,8,0
2021-03-21,27,0,0
2021-03-28,19,0,0
2021-04-04,17,6,0
2021-04-11,22,0,0
2021-04-18,16,0,0
2021-04-25,11,0,0
2021-05-02,16,6,0
2021-05-09,12,0,0
2021-05-16,19,0,0
2021-05-23,18,0,0
2021-05-30,18,0,0
2021-06-06,13,0,0
2021-06-13,12,0,0
2021-06-20,10,0,0
2021-06-27,8,0,0
2021-07-04,8,0,0
2021-07-11,0,0,0
2021-07-18,0,0,0
2021-07-25,7,0,0
2021-08-01,7,0,0
2021-08-08,0,0,0
2021-08-15,6,0,0
2021-08-22,8,0,0
2021-08-29,9,0,0
2021-09-05,7,0,0
2021-09-12,0,0,0
2021-09-19,0,0,0
2021-09-26,10,0,0
2021-10-03,11,0,0
2021-10-10,12,0,0
2021-10-17,14,0,0
2021-10-24,0,6,0
2021-10-31,0,0,0
2021-11-07,12,0,0
2021-11-14,6,0,0
2021-11-21,12,0,0
2021-11-28,7,0,0
2021-12-05,9,0,0
2021-12-12,9,0,0
2021-12-19,13,0,0
2021-12-26,16,0,0
2022-01-02,26,13,0
2022-01-09,24,0,0
2022-01-16,35,7,0
2022-01-23,26,6,0
2022-01-30,33,9,0
2022-02-06,27,11,0
2022-02-13,27,9,0
2022-02-20,29,5,0
2022-02-27,27,7,0
2022-03-06,29,8,0
2022-03-13,27,0,0
2022-03-20,39,9,0
2022-03-27,44,9,0
2022-04-03,35,8,0
2022-04-10,40,10,0
2022-04-17,30,6,0
2022-04-24,41,11,0
2022-05-01,31,6,0
2022-05-08,36,10,0
2022-05-15,32,10,0
2022-05-22,31,0,0
2022-05-29,26,5,0
2022-06-05,30,6,0
2022-06-12,30,6,0
2022-06-19,26,8,0
2022-06-26,28,10,0
2022-07-03,20,7,0
2022-07-10,19,8,0
2022-07-17,23,10,0
2022-07-24,16,6,0
2022-07-31,14,0,0
2022-08-07,9,5,0
2022-08-14,12,0,0
2022-08-21,11,0,0
2022-08-28,12,0,0
2022-09-04,4,0,0
2022-09-11,11,0,0
2022-09-18,8,0,0
2022-09-25,5,0,0
2022-10-02,9,4,0
2022-10-09,11,0,0
2022-10-16,11,0,0
2022-10-23,10,0,0
2022-10-30,17,5,0
2022-11-06,7,0,0
2022-11-13,23,7,0
2022-11-20,21,6,0
2022-11-27,33,7,0
2022-12-04,25,9,0
2022-12-11,36,14,0
2022-12-18,39,14,0
2022-12-25,46,13,0
2023-01-01,49,17,0
2023-01-08,48,17,0
2023-01-15,54,15,0
2023-01-22,47,14,0
2023-01-29,40,16,0
2023-02-05,42,14,0
2023-02-12,60,16,0
2023-02-19,45,11,0
2023-02-26,58,16,0
2023-03-05,53,13,0
2023-03-12,53,12,0
2023-03-19,46,10,0
2023-03-26,42,12,0
2023-04-02,37,13,0
2023-04-09,28,7,0
2023-04-16,30,8,5
2023-04-23,22,6,0
2023-04-30,26,7,0
2023-05-07,20,6,0
2023-05-14,21,5,0
2023-05-21,16,0,0
2023-05-28,21,6,0
2023-06-04,12,5,0
2023-06-11,12,0,0
2023-06-18,12,0,0
2023-06-25,15,0,0
2023-07-02,10,0,0
2023-07-09,9,0,0
2023-07-16,9,0,0
2023-07-23,6,0,0
2023-07-30,6,0,0
2023-08-06,8,0,0
2023-08-13,9,5,0
2023-08-20,5,0,0
2023-08-27,12,8,0
2023-09-03,7,0,0
2023-09-10,9,0,0
2023-09-17,9,0,0
2023-09-24,8,0,0
2023-10-01,0,0,0
2023-10-08,7,0,0
2023-10-15,5,0,0
2023-10-22,12,0,0
2023-10-29,5,0,0
2023-11-05,9,0,0
2023-11-12,13,6,0
2023-11-19,6,0,0
2023-11-26,13,0,0
2023-12-03,7,0,0
2023-12-10,12,0,0
2023-12-17,16,7,0
2023-12-24,15,0,0
2023-12-31,19,0,0
2024-01-07,22,0,0
2024-01-14,28,9,0
2024-01-21,34,8,6
2024-01-28,48,10,0
2024-02-04,76,21,0
2024-02-11,92,18,0
2024-02-18,100,21,0
2024-02-25,94,37,0
