Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul),tratamento dengue: (Mato Grosso do Sul)
2022-05-22,35,11,0
2022-05-29,25,7,0
2022-06-05,27,7,0
2022-06-12,22,6,0
2022-06-19,19,5,0
2022-06-26,20,5,0
2022-07-03,17,5,0
2022-07-10,17,6,0
2022-07-17,11,6,0
2022-07-24,10,4,0
2022-07-31,10,4,0
2022-08-07,9,3,0
2022-08-14,8,3,0
2022-08-21,9,3,0
2022-08-28,8,0,0
2022-09-04,9,0,0
2022-09-11,9,2,0
2022-09-18,6,0,0
2022-09-25,7,0,0
2022-10-02,5,0,0
2022-10-09,7,3,0
2022-10-16,11,3,0
2022-10-23,13,4,0
2022-10-30,8,3,0
2022-11-06,12,4,0
2022-11-13,13,5,0
2022-11-20,11,5,0
2022-11-27,15,4,0
2022-12-04,15,4,0
2022-12-11,14,6,0
2022-12-18,20,4,0
2022-12-25,17,5,0
2023-01-01,15,6,0
2023-01-08,21,6,0
2023-01-15,14,4,0
2023-01-22,19,6,2
2023-01-29,22,7,0
2023-02-05,26,6,0
2023-02-12,35,11,0
2023-02-19,35,9,0
2023-02-26,38,10,0
2023-03-05,44,12,0
2023-03-12,46,13,0
2023-03-19,57,15,0
2023-03-26,72,21,0
2023-04-02,65,16,0
2023-04-09,68,19,0
2023-04-16,67,19,0
2023-04-23,66,13,0
2023-04-30,52,13,0
2023-05-07,51,12,4
2023-05-14,38,11,0
2023-05-21,42,13,0
2023-05-28,27,7,0
2023-06-04,17,4,0
2023-06-11,14,4,0
2023-06-18,17,3,0
2023-06-25,11,3,0
2023-07-02,17,2,2
2023-07-09,10,0,0
2023-07-16,7,3,0
2023-07-23,8,0,0
2023-07-30,8,3,0
2023-08-06,6,0,0
2023-08-13,8,0,0
2023-08-20,7,0,0
2023-08-27,7,0,0
2023-09-03,8,0,0
2023-09-10,7,0,0
2023-09-17,8,0,0
2023-09-24,5,3,0
2023-10-01,9,2,0
2023-10-08,7,3,0
2023-10-15,13,3,0
2023-10-22,7,3,0
2023-10-29,9,2,0
2023-11-05,9,2,0
2023-11-12,8,0,0
2023-11-19,8,0,0
2023-11-26,10,3,0
2023-12-03,8,2,0
2023-12-10,7,3,0
2023-12-17,8,0,0
2023-12-24,10,0,0
2023-12-31,15,3,0
2024-01-07,14,4,0
2024-01-14,15,3,0
2024-01-21,24,4,0
2024-01-28,29,5,0
2024-02-04,35,6,0
2024-02-11,49,8,0
2024-02-18,53,10,0
