Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas),tratamento dengue: (Amazonas)
2020-08-02,7,0,0
2020-08-09,8,0,0
2020-08-16,4,0,0
2020-08-23,7,0,0
2020-08-30,7,0,0
2020-09-06,9,0,0
2020-09-13,8,4,0
2020-09-20,7,0,0
2020-09-27,7,0,0
2020-10-04,9,0,0
2020-10-11,7,0,0
2020-10-18,11,0,0
2020-10-25,7,4,0
2020-11-01,7,0,0
2020-11-08,7,0,0
2020-11-15,7,0,0
2020-11-22,15,0,0
2020-11-29,8,0,0
2020-12-06,13,0,0
2020-12-13,11,0,0
2020-12-20,8,5,0
2020-12-27,22,6,5
2021-01-03,24,11,0
2021-01-10,17,7,0
2021-01-17,18,7,0
2021-01-24,24,4,0
2021-01-31,17,5,0
2021-02-07,14,0,0
2021-02-14,20,0,0
2021-02-21,19,0,0
2021-02-28,29,9,0
2021-03-07,16,5,0
2021-03-14,18,4,0
2021-03-21,28,6,0
2021-03-28,19,4,0
2021-04-04,19,6,0
2021-04-11,17,0,0
2021-04-18,23,5,0
2021-04-25,17,6,0
2021-05-02,18,4,0
2021-05-09,16,0,0
2021-05-16,22,7,0
2021-05-23,18,5,0
2021-05-30,13,0,0
2021-06-06,12,0,0
2021-06-13,16,3,0
2021-06-20,12,0,0
2021-06-27,8,0,0
2021-07-04,14,3,0
2021-07-11,14,0,0
2021-07-18,8,0,0
2021-07-25,9,0,0
2021-08-01,11,0,0
2021-08-08,10,0,0
2021-08-15,11,0,0
2021-08-22,8,0,0
2021-08-29,10,0,0
2021-09-05,10,0,0
2021-09-12,9,0,0
2021-09-19,7,0,0
2021-09-26,7,0,0
2021-10-03,7,0,0
2021-10-10,5,0,0
2021-10-17,6,0,0
2021-10-24,5,0,0
2021-10-31,8,0,0
2021-11-07,5,0,0
2021-11-14,6,0,0
2021-11-21,8,0,0
2021-11-28,6,8,5
2021-12-05,5,0,0
2021-12-12,13,0,0
2021-12-19,7,0,0
2021-12-26,5,0,0
2022-01-02,6,6,0
2022-01-09,11,0,0
2022-01-16,9,0,0
2022-01-23,11,0,0
2022-01-30,9,0,0
2022-02-06,6,0,0
2022-02-13,10,0,0
2022-02-20,13,0,0
2022-02-27,12,0,0
2022-03-06,10,0,0
2022-03-13,14,0,0
2022-03-20,17,4,0
2022-03-27,14,5,0
2022-04-03,15,0,0
2022-04-10,16,4,0
2022-04-17,15,5,0
2022-04-24,16,0,0
2022-05-01,16,5,0
2022-05-08,14,0,0
2022-05-15,19,4,0
2022-05-22,20,4,0
2022-05-29,17,5,0
2022-06-05,17,4,0
2022-06-12,17,3,0
2022-06-19,11,0,0
2022-06-26,10,3,0
2022-07-03,9,0,0
2022-07-10,5,0,0
2022-07-17,11,0,0
2022-07-24,11,0,0
2022-07-31,12,0,0
2022-08-07,10,0,0
2022-08-14,10,0,0
2022-08-21,8,0,0
2022-08-28,7,0,0
2022-09-04,3,0,0
2022-09-11,8,0,0
2022-09-18,8,0,0
2022-09-25,6,0,0
2022-10-02,5,0,0
2022-10-09,6,0,0
2022-10-16,11,3,0
2022-10-23,8,0,0
2022-10-30,6,0,0
2022-11-06,13,4,0
2022-11-13,5,3,0
2022-11-20,11,5,0
2022-11-27,12,0,0
2022-12-04,8,0,0
2022-12-11,9,0,0
2022-12-18,9,3,0
2022-12-25,10,0,0
2023-01-01,8,6,0
2023-01-08,6,0,0
2023-01-15,9,3,0
2023-01-22,8,0,0
2023-01-29,11,5,4
2023-02-05,12,0,0
2023-02-12,16,5,0
2023-02-19,14,4,0
2023-02-26,18,4,0
2023-03-05,15,4,0
2023-03-12,13,7,0
2023-03-19,17,4,0
2023-03-26,19,4,0
2023-04-02,13,4,0
2023-04-09,16,4,0
2023-04-16,15,5,0
2023-04-23,16,4,0
2023-04-30,12,4,0
2023-05-07,21,6,0
2023-05-14,16,4,4
2023-05-21,12,4,0
2023-05-28,13,0,0
2023-06-04,10,5,0
2023-06-11,9,4,0
2023-06-18,13,0,0
2023-06-25,10,4,0
2023-07-02,12,0,0
2023-07-09,12,0,0
2023-07-16,9,0,0
2023-07-23,8,0,0
2023-07-30,9,0,0
2023-08-06,8,4,0
2023-08-13,9,0,0
2023-08-20,8,0,0
2023-08-27,10,0,0
2023-09-03,4,0,0
2023-09-10,6,0,0
2023-09-17,12,6,0
2023-09-24,9,0,0
2023-10-01,7,0,0
2023-10-08,9,0,0
2023-10-15,7,0,0
2023-10-22,7,0,0
2023-10-29,6,0,0
2023-11-05,9,0,0
2023-11-12,10,3,0
2023-11-19,9,0,0
2023-11-26,10,3,0
2023-12-03,13,0,0
2023-12-10,20,4,0
2023-12-17,27,10,0
2023-12-24,51,16,0
2023-12-31,92,28,0
2024-01-07,81,21,4
2024-01-14,90,27,0
2024-01-21,85,23,4
2024-01-28,63,19,6
2024-02-04,71,22,0
2024-02-11,75,20,0
2024-02-18,100,21,0
2024-02-25,89,17,0
