Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte),tratamento dengue: (Rio Grande do Norte)
2023-04-30,17,4,3
2023-05-07,14,0,0
2023-05-14,12,2,0
2023-05-21,12,3,0
2023-05-28,8,0,0
2023-06-04,10,3,0
2023-06-11,8,0,0
2023-06-18,8,0,0
2023-06-25,12,0,0
2023-07-02,11,0,0
2023-07-09,9,0,0
2023-07-16,12,0,0
2023-07-23,7,0,0
2023-07-30,5,0,0
2023-08-06,7,0,0
2023-08-13,4,0,0
2023-08-20,6,0,0
2023-08-27,7,0,0
2023-09-03,5,0,0
2023-09-10,5,0,0
2023-09-17,4,0,0
2023-09-24,6,0,0
2023-10-01,6,0,0
2023-10-08,7,0,0
2023-10-15,6,0,0
2023-10-22,7,0,0
2023-10-29,0,0,0
2023-11-05,8,0,0
2023-11-12,4,0,0
2023-11-19,4,0,0
2023-11-26,7,0,0
2023-12-03,4,0,0
2023-12-10,8,0,0
2023-12-17,8,0,0
2023-12-24,8,0,0
2023-12-31,9,0,0
2024-01-07,10,3,0
2024-01-14,14,4,3
2024-01-21,17,0,0
2024-01-28,16,5,6
2024-02-04,28,11,0
2024-02-11,53,12,0
2024-02-18,81,19,0
2024-02-25,86,15,0
