Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí)
2022-08-21,3,0
2022-08-28,5,0
2022-09-04,4,0
2022-09-11,4,0
2022-09-18,3,0
2022-09-25,4,0
2022-10-02,6,0
2022-10-09,3,0
2022-10-16,4,0
2022-10-23,3,0
2022-10-30,5,0
2022-11-06,6,0
2022-11-13,4,0
2022-11-20,4,0
2022-11-27,4,0
2022-12-04,5,0
2022-12-11,5,0
2022-12-18,0,0
2022-12-25,4,0
2023-01-01,5,0
2023-01-08,5,3
2023-01-15,7,0
2023-01-22,6,0
2023-01-29,7,0
2023-02-05,8,0
2023-02-12,9,3
2023-02-19,9,3
2023-02-26,15,4
2023-03-05,13,3
2023-03-12,14,3
2023-03-19,16,5
2023-03-26,19,4
2023-04-02,17,7
2023-04-09,20,7
2023-04-16,17,6
2023-04-23,21,5
2023-04-30,15,4
2023-05-07,19,6
2023-05-14,17,4
2023-05-21,11,0
2023-05-28,13,3
2023-06-04,8,3
2023-06-11,12,0
2023-06-18,7,2
2023-06-25,8,0
2023-07-02,7,0
2023-07-09,5,0
2023-07-16,3,0
2023-07-23,4,0
2023-07-30,3,0
2023-08-06,4,0
2023-08-13,3,0
2023-08-20,0,0
2023-08-27,6,0
2023-09-03,0,0
2023-09-10,3,0
2023-09-17,4,0
2023-09-24,0,0
2023-10-01,3,0
2023-10-08,3,0
2023-10-15,3,0
2023-10-22,3,0
2023-10-29,3,0
2023-11-05,3,0
2023-11-12,0,0
2023-11-19,3,0
2023-11-26,5,0
2023-12-03,4,0
2023-12-10,3,0
2023-12-17,4,0
2023-12-24,5,0
2023-12-31,4,5
2024-01-07,7,0
2024-01-14,5,0
2024-01-21,10,0
2024-01-28,16,0
2024-02-04,25,4
2024-02-11,30,5
2024-02-18,44,9
2024-02-25,46,11
2024-03-03,44,10
2024-03-10,52,11
2024-03-17,45,9
2024-03-24,36,8
2024-03-31,43,11
2024-04-07,38,7
2024-04-14,40,8
2024-04-21,27,5
2024-04-28,25,6
2024-05-05,45,6
2024-05-12,32,6
2024-05-19,74,11
2024-05-26,33,8
2024-06-02,25,5
2024-06-09,21,4
2024-06-16,16,3
