Categoria: Todas as categorias

Semana,dengue: (Maranhão),sintomas dengue: (Maranhão)
2024-01-21,13,3
2024-01-28,19,6
2024-02-04,33,10
2024-02-11,58,16
2024-02-18,96,18
2024-02-25,100,25
2024-03-03,99,20
2024-03-10,87,22
2024-03-17,95,22
2024-03-24,75,24
2024-03-31,75,16
2024-04-07,73,16
2024-04-14,62,14
2024-04-21,57,10
2024-04-28,38,8
2024-05-05,26,5
2024-05-12,24,0
2024-05-19,30,6
2024-05-26,20,4
2024-06-02,18,3
2024-06-09,17,4
2024-06-16,13,3
