Categoria: Todas as categorias

Semana,dengue: (Maranhão),sintomas dengue: (Maranhão)
2024-05-19,29,5
2024-05-26,21,4
2024-06-02,20,5
2024-06-09,17,4
2024-06-16,14,4
2024-06-23,12,0
2024-06-30,9,0
2024-07-07,8,0
2024-07-14,10,3
2024-07-21,7,1
2024-07-28,6,1
2024-08-04,7,1
