Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí)
2023-12-17,4,0
2023-12-24,4,0
2023-12-31,4,0
2024-01-07,7,0
2024-01-14,5,2
2024-01-21,9,2
2024-01-28,14,3
2024-02-04,23,4
2024-02-11,31,6
2024-02-18,45,9
2024-02-25,49,11
2024-03-03,45,10
2024-03-10,50,13
2024-03-17,49,11
2024-03-24,38,9
2024-03-31,42,11
2024-04-07,40,8
2024-04-14,37,8
2024-04-21,29,6
2024-04-28,27,6
2024-05-05,46,7
2024-05-12,29,5
2024-05-19,75,12
2024-05-26,36,7
2024-06-02,31,5
2024-06-09,22,3
2024-06-16,16,3
2024-06-23,15,3
2024-06-30,10,2
2024-07-07,8,0
2024-07-14,10,2
2024-07-21,6,0
2024-07-28,6,2
2024-08-04,8,0
2024-08-11,8,0
2024-08-18,8,0
2024-08-25,7,0
2024-09-01,5,0
2024-09-08,5,3
2024-09-15,4,0
2024-09-22,4,0
2024-09-29,4,0
2024-10-06,4,0
2024-10-13,5,0
2024-10-20,4,0
2024-10-27,5,0
2024-11-03,5,0
2024-11-10,5,0
2024-11-17,4,0
2024-11-24,3,0
2024-12-01,4,0
2024-12-08,5,0
2024-12-15,5,0
2024-12-22,4,0
2024-12-29,4,0
2025-01-05,5,0
2025-01-12,6,0
2025-01-19,12,0
2025-01-26,10,0
2025-02-02,9,2
2025-02-09,11,0
2025-02-16,12,4
2025-02-23,12,0
2025-03-02,10,0
2025-03-09,10,0
2025-03-16,12,2
2025-03-23,15,3
2025-03-30,11,0
2025-04-06,17,3
2025-04-13,15,3
2025-04-20,17,3
2025-04-27,16,2
2025-05-04,15,0
2025-05-11,14,2
2025-05-18,11,3
2025-05-25,14,3
2025-06-01,11,2
2025-06-08,9,0
2025-06-15,9,2
2025-06-22,8,2
2025-06-29,8,0
2025-07-06,6,0
2025-07-13,12,0
2025-07-20,7,<1
2025-07-27,6,1
2025-08-03,8,1
