Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí)
2021-06-13,9,3
2021-06-20,8,2
2021-06-27,6,0
2021-07-04,8,3
2021-07-11,6,0
2021-07-18,5,0
2021-07-25,5,0
2021-08-01,5,2
2021-08-08,5,0
2021-08-15,6,0
2021-08-22,6,0
2021-08-29,4,0
2021-09-05,4,0
2021-09-12,5,0
2021-09-19,4,0
2021-09-26,4,0
2021-10-03,5,0
2021-10-10,4,0
2021-10-17,3,0
2021-10-24,2,0
2021-10-31,3,0
2021-11-07,4,0
2021-11-14,5,0
2021-11-21,4,0
2021-11-28,3,0
2021-12-05,4,0
2021-12-12,6,0
2021-12-19,6,0
2021-12-26,5,3
2022-01-02,8,3
2022-01-09,10,3
2022-01-16,9,3
2022-01-23,9,3
2022-01-30,11,3
2022-02-06,14,6
2022-02-13,18,6
2022-02-20,19,6
2022-02-27,27,7
2022-03-06,29,8
2022-03-13,34,10
2022-03-20,43,13
2022-03-27,63,17
2022-04-03,68,21
2022-04-10,76,20
2022-04-17,99,28
2022-04-24,100,27
2022-05-01,88,23
2022-05-08,74,20
2022-05-15,71,19
2022-05-22,49,15
2022-05-29,44,13
2022-06-05,42,12
2022-06-12,34,11
2022-06-19,26,8
2022-06-26,29,10
2022-07-03,22,7
2022-07-10,15,4
2022-07-17,11,4
2022-07-24,8,2
2022-07-31,8,3
2022-08-07,7,2
2022-08-14,5,2
2022-08-21,5,0
2022-08-28,5,0
2022-09-04,4,0
2022-09-11,3,0
2022-09-18,3,0
2022-09-25,4,0
2022-10-02,4,0
2022-10-09,4,0
2022-10-16,4,0
2022-10-23,4,0
2022-10-30,5,0
2022-11-06,4,0
2022-11-13,5,0
2022-11-20,3,0
2022-11-27,4,0
2022-12-04,4,0
2022-12-11,5,0
2022-12-18,4,0
2022-12-25,3,0
2023-01-01,5,2
2023-01-08,5,2
2023-01-15,7,2
2023-01-22,6,0
2023-01-29,7,2
2023-02-05,7,2
2023-02-12,8,3
2023-02-19,11,3
2023-02-26,15,4
2023-03-05,13,3
2023-03-12,15,4
2023-03-19,16,6
2023-03-26,20,6
2023-04-02,18,6
2023-04-09,20,6
2023-04-16,19,7
2023-04-23,20,6
2023-04-30,15,5
2023-05-07,18,6
2023-05-14,17,4
2023-05-21,13,3
2023-05-28,13,3
2023-06-04,9,3
2023-06-11,10,3
2023-06-18,9,4
2023-06-25,8,2
2023-07-02,8,0
2023-07-09,5,2
2023-07-16,3,0
2023-07-23,4,2
2023-07-30,3,0
2023-08-06,4,0
2023-08-13,4,0
2023-08-20,2,0
2023-08-27,3,0
2023-09-03,4,2
2023-09-10,3,0
2023-09-17,4,2
2023-09-24,3,0
2023-10-01,3,0
2023-10-08,3,0
2023-10-15,3,2
2023-10-22,2,0
2023-10-29,2,0
2023-11-05,3,0
2023-11-12,4,0
2023-11-19,4,0
2023-11-26,4,0
2023-12-03,4,0
2023-12-10,3,0
2023-12-17,4,0
2023-12-24,4,0
2023-12-31,4,0
2024-01-07,6,0
2024-01-14,5,0
2024-01-21,8,3
2024-01-28,13,2
2024-02-04,22,4
2024-02-11,27,5
2024-02-18,45,9
2024-02-25,48,12
2024-03-03,45,11
2024-03-10,51,12
2024-03-17,48,11
2024-03-24,39,10
2024-03-31,41,10
2024-04-07,39,9
2024-04-14,38,8
2024-04-21,29,6
2024-04-28,27,6
2024-05-05,45,7
2024-05-12,31,6
2024-05-19,74,12
2024-05-26,35,7
2024-06-02,30,5
2024-06-09,22,3
2024-06-16,16,2
2024-06-23,14,3
2024-06-30,10,2
2024-07-07,8,2
2024-07-14,11,0
2024-07-21,6,0
2024-07-28,5,0
2024-08-04,9,0
2024-08-11,8,3
2024-08-18,8,2
2024-08-25,8,0
2024-09-01,4,0
2024-09-08,5,0
2024-09-15,4,2
2024-09-22,5,0
