Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí),tratamento dengue: (Piauí)
2021-07-11,5,0,0
2021-07-18,5,0,0
2021-07-25,5,0,0
2021-08-01,4,0,0
2021-08-08,7,0,0
2021-08-15,6,0,0
2021-08-22,6,0,0
2021-08-29,3,0,0
2021-09-05,5,0,0
2021-09-12,5,0,0
2021-09-19,0,0,0
2021-09-26,0,0,0
2021-10-03,0,0,0
2021-10-10,4,0,0
2021-10-17,3,0,0
2021-10-24,3,0,0
2021-10-31,3,0,0
2021-11-07,0,0,0
2021-11-14,4,0,0
2021-11-21,4,0,0
2021-11-28,0,0,0
2021-12-05,4,0,0
2021-12-12,5,0,0
2021-12-19,0,0,0
2021-12-26,7,0,0
2022-01-02,5,0,0
2022-01-09,9,0,0
2022-01-16,8,0,0
2022-01-23,8,0,0
2022-01-30,11,3,0
2022-02-06,13,6,0
2022-02-13,17,6,0
2022-02-20,19,6,0
2022-02-27,26,7,0
2022-03-06,28,8,0
2022-03-13,33,9,0
2022-03-20,42,13,0
2022-03-27,62,15,0
2022-04-03,68,20,0
2022-04-10,75,21,0
2022-04-17,100,29,0
2022-04-24,100,26,3
2022-05-01,87,23,2
2022-05-08,72,20,0
2022-05-15,65,19,0
2022-05-22,49,14,0
2022-05-29,43,13,0
2022-06-05,43,11,0
2022-06-12,35,11,0
2022-06-19,26,8,0
2022-06-26,29,11,0
2022-07-03,23,9,0
2022-07-10,15,6,0
2022-07-17,10,2,0
2022-07-24,8,3,0
2022-07-31,7,3,0
2022-08-07,6,3,0
2022-08-14,7,0,0
2022-08-21,5,0,0
2022-08-28,4,0,0
2022-09-04,5,0,0
2022-09-11,0,0,0
2022-09-18,2,0,0
2022-09-25,3,0,0
2022-10-02,5,0,0
2022-10-09,4,0,0
2022-10-16,3,0,0
2022-10-23,3,0,0
2022-10-30,5,0,0
2022-11-06,5,0,0
2022-11-13,4,0,0
2022-11-20,4,0,0
2022-11-27,5,0,0
2022-12-04,3,0,0
2022-12-11,6,0,0
2022-12-18,5,0,0
2022-12-25,0,0,0
2023-01-01,6,0,0
2023-01-08,4,3,0
2023-01-15,8,0,0
2023-01-22,6,0,0
2023-01-29,6,0,0
2023-02-05,7,0,0
2023-02-12,8,3,0
2023-02-19,9,0,0
2023-02-26,14,4,0
2023-03-05,13,2,0
2023-03-12,15,4,0
2023-03-19,18,5,0
2023-03-26,20,6,0
2023-04-02,18,8,0
2023-04-09,24,7,0
2023-04-16,20,7,0
2023-04-23,19,6,0
2023-04-30,14,6,0
2023-05-07,20,6,0
2023-05-14,15,4,0
2023-05-21,9,2,0
2023-05-28,12,3,0
2023-06-04,7,3,0
2023-06-11,10,3,0
2023-06-18,7,2,0
2023-06-25,7,0,0
2023-07-02,7,0,0
2023-07-09,6,0,0
2023-07-16,4,0,0
2023-07-23,3,0,0
2023-07-30,3,0,0
2023-08-06,4,0,0
2023-08-13,0,0,0
2023-08-20,0,0,0
2023-08-27,4,0,0
2023-09-03,0,0,0
2023-09-10,5,0,0
2023-09-17,4,0,0
2023-09-24,0,0,0
2023-10-01,4,0,0
2023-10-08,3,0,0
2023-10-15,3,0,0
2023-10-22,4,0,0
2023-10-29,0,0,0
2023-11-05,2,0,0
2023-11-12,2,0,0
2023-11-19,3,0,0
2023-11-26,4,0,0
2023-12-03,3,0,0
2023-12-10,3,0,0
2023-12-17,0,0,0
2023-12-24,6,0,0
2023-12-31,5,0,0
2024-01-07,7,0,0
2024-01-14,4,0,0
2024-01-21,10,0,0
2024-01-28,16,0,0
2024-02-04,23,5,0
2024-02-11,26,5,0
2024-02-18,42,8,0
2024-02-25,44,12,0
2024-03-03,43,10,0
2024-03-10,51,12,0
2024-03-17,44,10,0
2024-03-24,37,8,0
2024-03-31,40,8,<1
2024-04-07,39,9,<1
2024-04-14,32,7,0
