Categoria: Todas as categorias

Semana,dengue: (Ceará),sintomas dengue: (Ceará),tratamento dengue: (Ceará)
2021-03-21,22,5,0
2021-03-28,21,8,0
2021-04-04,23,6,0
2021-04-11,28,7,0
2021-04-18,29,8,0
2021-04-25,31,9,0
2021-05-02,28,7,0
2021-05-09,37,10,0
2021-05-16,45,12,0
2021-05-23,47,12,2
2021-05-30,44,13,0
2021-06-06,42,12,0
2021-06-13,43,11,0
2021-06-20,38,12,2
2021-06-27,33,8,3
2021-07-04,34,10,0
2021-07-11,26,6,0
2021-07-18,24,6,0
2021-07-25,20,5,0
2021-08-01,19,5,0
2021-08-08,18,4,0
2021-08-15,18,4,0
2021-08-22,15,4,0
2021-08-29,14,4,0
2021-09-05,10,3,0
2021-09-12,11,2,0
2021-09-19,14,3,0
2021-09-26,11,2,0
2021-10-03,12,2,0
2021-10-10,8,0,0
2021-10-17,8,0,0
2021-10-24,6,0,0
2021-10-31,5,0,0
2021-11-07,6,0,0
2021-11-14,7,0,0
2021-11-21,7,0,0
2021-11-28,6,0,0
2021-12-05,6,0,0
2021-12-12,8,0,0
2021-12-19,6,0,0
2021-12-26,7,0,0
2022-01-02,9,3,0
2022-01-09,14,5,0
2022-01-16,15,6,0
2022-01-23,11,3,0
2022-01-30,15,3,0
2022-02-06,16,4,0
2022-02-13,20,5,0
2022-02-20,19,4,0
2022-02-27,21,6,0
2022-03-06,25,6,1
2022-03-13,26,7,0
2022-03-20,32,7,0
2022-03-27,34,8,0
2022-04-03,35,10,0
2022-04-10,33,10,0
2022-04-17,48,15,0
2022-04-24,54,15,0
2022-05-01,56,15,0
2022-05-08,54,14,0
2022-05-15,54,18,0
2022-05-22,54,17,0
2022-05-29,58,17,0
2022-06-05,51,14,0
2022-06-12,53,17,0
2022-06-19,50,16,0
2022-06-26,46,15,1
2022-07-03,40,13,0
2022-07-10,34,9,0
2022-07-17,26,7,0
2022-07-24,26,8,0
2022-07-31,24,7,0
2022-08-07,19,6,0
2022-08-14,16,3,0
2022-08-21,16,4,0
2022-08-28,15,5,0
2022-09-04,13,3,0
2022-09-11,14,3,0
2022-09-18,11,2,0
2022-09-25,10,3,0
2022-10-02,9,3,0
2022-10-09,9,2,0
2022-10-16,8,3,0
2022-10-23,9,2,0
2022-10-30,8,2,0
2022-11-06,7,2,0
2022-11-13,6,2,0
2022-11-20,9,3,0
2022-11-27,6,2,0
2022-12-04,7,3,0
2022-12-11,7,2,0
2022-12-18,4,3,0
2022-12-25,8,3,0
2023-01-01,6,0,0
2023-01-08,6,0,0
2023-01-15,7,0,0
2023-01-22,8,2,0
2023-01-29,9,3,0
2023-02-05,12,2,0
2023-02-12,14,3,0
2023-02-19,16,5,0
2023-02-26,18,5,0
2023-03-05,20,7,0
2023-03-12,25,8,0
2023-03-19,30,8,0
2023-03-26,33,10,0
2023-04-02,25,8,0
2023-04-09,25,8,0
2023-04-16,22,7,0
2023-04-23,19,5,0
2023-04-30,19,5,0
2023-05-07,16,5,0
2023-05-14,18,5,0
2023-05-21,18,3,0
2023-05-28,14,4,0
2023-06-04,12,2,0
2023-06-11,15,3,0
2023-06-18,17,4,0
2023-06-25,12,2,0
2023-07-02,18,3,0
2023-07-09,10,2,0
2023-07-16,9,3,0
2023-07-23,11,3,0
2023-07-30,6,0,0
2023-08-06,6,3,0
2023-08-13,8,0,0
2023-08-20,9,2,0
2023-08-27,8,0,0
2023-09-03,5,0,0
2023-09-10,7,2,0
2023-09-17,7,0,0
2023-09-24,8,0,0
2023-10-01,9,2,0
2023-10-08,6,0,0
2023-10-15,6,0,0
2023-10-22,6,0,0
2023-10-29,6,0,0
2023-11-05,6,0,0
2023-11-12,8,2,0
2023-11-19,8,2,0
2023-11-26,7,2,0
2023-12-03,7,2,0
2023-12-10,8,0,0
2023-12-17,9,2,0
2023-12-24,6,0,0
2023-12-31,7,0,0
2024-01-07,9,2,0
2024-01-14,8,2,0
2024-01-21,13,4,0
2024-01-28,18,5,0
2024-02-04,28,7,0
2024-02-11,50,15,0
2024-02-18,82,18,0
2024-02-25,98,21,0
2024-03-03,100,22,0
2024-03-10,79,18,0
2024-03-17,75,18,0
2024-03-24,57,14,0
2024-03-31,66,16,1
2024-04-07,65,16,1
2024-04-14,53,14,<1
