Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso),tratamento dengue: (Mato Grosso)
2021-03-07,26,9,0
2021-03-14,28,8,0
2021-03-21,28,10,0
2021-03-28,24,8,0
2021-04-04,28,9,0
2021-04-11,26,8,0
2021-04-18,21,7,0
2021-04-25,18,4,0
2021-05-02,19,0,0
2021-05-09,21,5,0
2021-05-16,21,5,0
2021-05-23,21,6,0
2021-05-30,21,0,0
2021-06-06,16,4,0
2021-06-13,16,4,0
2021-06-20,16,4,0
2021-06-27,7,0,0
2021-07-04,11,4,0
2021-07-11,12,3,0
2021-07-18,5,0,0
2021-07-25,8,0,0
2021-08-01,8,0,0
2021-08-08,12,0,4
2021-08-15,6,0,0
2021-08-22,10,0,0
2021-08-29,9,0,0
2021-09-05,7,0,0
2021-09-12,6,0,0
2021-09-19,7,0,0
2021-09-26,6,0,0
2021-10-03,7,0,0
2021-10-10,8,0,0
2021-10-17,11,0,0
2021-10-24,9,0,0
2021-10-31,7,0,0
2021-11-07,10,0,0
2021-11-14,9,0,0
2021-11-21,16,0,0
2021-11-28,16,0,0
2021-12-05,21,6,0
2021-12-12,32,8,0
2021-12-19,37,10,0
2021-12-26,41,12,0
2022-01-02,44,14,0
2022-01-09,36,12,0
2022-01-16,48,15,0
2022-01-23,50,12,0
2022-01-30,34,8,0
2022-02-06,31,13,0
2022-02-13,33,7,0
2022-02-20,31,8,0
2022-02-27,30,6,0
2022-03-06,28,6,0
2022-03-13,33,8,0
2022-03-20,35,8,0
2022-03-27,37,9,0
2022-04-03,42,11,0
2022-04-10,38,9,0
2022-04-17,45,11,0
2022-04-24,43,9,0
2022-05-01,37,7,0
2022-05-08,36,9,0
2022-05-15,33,9,0
2022-05-22,28,8,0
2022-05-29,23,5,0
2022-06-05,24,6,5
2022-06-12,22,7,0
2022-06-19,26,7,0
2022-06-26,28,7,0
2022-07-03,19,8,0
2022-07-10,20,6,0
2022-07-17,15,5,0
2022-07-24,12,5,0
2022-07-31,11,3,0
2022-08-07,7,0,0
2022-08-14,7,0,0
2022-08-21,12,0,0
2022-08-28,9,3,0
2022-09-04,9,0,0
2022-09-11,9,0,0
2022-09-18,9,3,0
2022-09-25,10,0,0
2022-10-02,10,0,0
2022-10-09,10,0,0
2022-10-16,10,0,0
2022-10-23,13,4,0
2022-10-30,10,0,0
2022-11-06,13,3,0
2022-11-13,15,5,0
2022-11-20,13,4,0
2022-11-27,13,0,0
2022-12-04,11,4,0
2022-12-11,18,5,0
2022-12-18,14,4,0
2022-12-25,23,7,0
2023-01-01,19,5,0
2023-01-08,19,5,0
2023-01-15,23,6,0
2023-01-22,18,4,0
2023-01-29,24,4,0
2023-02-05,28,7,0
2023-02-12,31,8,0
2023-02-19,38,10,0
2023-02-26,40,11,0
2023-03-05,32,10,0
2023-03-12,41,10,0
2023-03-19,36,10,0
2023-03-26,63,19,0
2023-04-02,55,21,0
2023-04-09,55,15,0
2023-04-16,48,14,0
2023-04-23,46,13,0
2023-04-30,43,11,0
2023-05-07,35,10,0
2023-05-14,33,8,0
2023-05-21,33,11,0
2023-05-28,28,7,0
2023-06-04,25,6,0
2023-06-11,19,0,0
2023-06-18,18,5,0
2023-06-25,13,0,0
2023-07-02,23,6,0
2023-07-09,14,0,0
2023-07-16,14,0,0
2023-07-23,9,0,0
2023-07-30,14,4,3
2023-08-06,11,3,0
2023-08-13,10,0,0
2023-08-20,10,0,0
2023-08-27,11,4,0
2023-09-03,9,0,0
2023-09-10,8,4,0
2023-09-17,7,0,0
2023-09-24,11,0,0
2023-10-01,13,0,0
2023-10-08,8,0,0
2023-10-15,8,0,0
2023-10-22,9,0,0
2023-10-29,10,0,0
2023-11-05,10,0,0
2023-11-12,13,4,0
2023-11-19,10,4,0
2023-11-26,14,4,0
2023-12-03,12,0,0
2023-12-10,14,5,0
2023-12-17,15,0,0
2023-12-24,15,6,0
2023-12-31,21,7,0
2024-01-07,32,9,0
2024-01-14,31,7,0
2024-01-21,38,10,0
2024-01-28,52,10,0
2024-02-04,57,14,0
2024-02-11,91,21,5
2024-02-18,88,21,0
2024-02-25,100,18,0
2024-03-03,79,17,0
2024-03-10,76,13,0
2024-03-17,68,16,0
2024-03-24,68,15,0
2024-03-31,73,14,1
2024-04-07,80,16,1
2024-04-14,94,19,1
