Categoria: Todas as categorias

Semana,dengue: (Rondônia),sintomas dengue: (Rondônia),tratamento dengue: (Rondônia)
2021-02-07,17,0,0
2021-02-14,12,0,0
2021-02-21,23,8,0
2021-02-28,20,10,0
2021-03-07,28,9,0
2021-03-14,22,8,0
2021-03-21,26,0,0
2021-03-28,22,0,0
2021-04-04,17,0,0
2021-04-11,20,0,0
2021-04-18,13,0,0
2021-04-25,11,0,0
2021-05-02,14,0,0
2021-05-09,10,0,0
2021-05-16,14,0,0
2021-05-23,17,0,0
2021-05-30,10,0,0
2021-06-06,10,0,0
2021-06-13,11,0,0
2021-06-20,15,0,0
2021-06-27,0,0,0
2021-07-04,0,0,0
2021-07-11,0,0,0
2021-07-18,0,0,0
2021-07-25,0,0,0
2021-08-01,0,0,0
2021-08-08,0,0,0
2021-08-15,0,0,0
2021-08-22,12,0,0
2021-08-29,0,0,0
2021-09-05,0,0,0
2021-09-12,0,0,0
2021-09-19,0,0,0
2021-09-26,9,0,0
2021-10-03,0,0,0
2021-10-10,0,0,0
2021-10-17,9,0,0
2021-10-24,0,0,0
2021-10-31,0,0,0
2021-11-07,11,0,0
2021-11-14,0,0,0
2021-11-21,8,0,0
2021-11-28,7,0,0
2021-12-05,0,10,0
2021-12-12,0,0,0
2021-12-19,14,0,0
2021-12-26,17,11,0
2022-01-02,24,0,0
2022-01-09,19,10,0
2022-01-16,31,11,0
2022-01-23,28,0,0
2022-01-30,21,0,0
2022-02-06,26,7,0
2022-02-13,24,9,0
2022-02-20,28,9,0
2022-02-27,31,16,0
2022-03-06,27,7,0
2022-03-13,29,0,0
2022-03-20,40,8,0
2022-03-27,40,8,0
2022-04-03,33,8,0
2022-04-10,38,11,0
2022-04-17,29,7,0
2022-04-24,41,9,0
2022-05-01,29,5,0
2022-05-08,35,9,0
2022-05-15,34,11,0
2022-05-22,25,0,0
2022-05-29,30,6,0
2022-06-05,28,0,0
2022-06-12,32,7,0
2022-06-19,25,8,0
2022-06-26,27,11,0
2022-07-03,20,8,0
2022-07-10,19,8,0
2022-07-17,18,9,0
2022-07-24,16,8,0
2022-07-31,11,0,0
2022-08-07,12,0,0
2022-08-14,11,0,0
2022-08-21,10,0,0
2022-08-28,11,0,0
2022-09-04,7,0,0
2022-09-11,9,0,0
2022-09-18,8,0,6
2022-09-25,6,0,0
2022-10-02,9,0,0
2022-10-09,7,0,0
2022-10-16,13,5,0
2022-10-23,12,0,0
2022-10-30,15,0,0
2022-11-06,12,0,0
2022-11-13,24,7,0
2022-11-20,19,0,0
2022-11-27,27,7,0
2022-12-04,25,9,0
2022-12-11,36,7,0
2022-12-18,37,14,0
2022-12-25,45,16,0
2023-01-01,47,18,0
2023-01-08,48,14,0
2023-01-15,52,14,0
2023-01-22,47,15,0
2023-01-29,42,13,0
2023-02-05,43,11,0
2023-02-12,58,13,0
2023-02-19,41,10,0
2023-02-26,52,20,0
2023-03-05,50,14,0
2023-03-12,53,13,0
2023-03-19,44,11,0
2023-03-26,40,12,0
2023-04-02,38,8,0
2023-04-09,30,8,0
2023-04-16,31,9,0
2023-04-23,22,0,0
2023-04-30,22,0,0
2023-05-07,18,7,0
2023-05-14,18,0,0
2023-05-21,14,0,0
2023-05-28,18,7,0
2023-06-04,14,0,0
2023-06-11,13,0,0
2023-06-18,12,0,0
2023-06-25,11,0,0
2023-07-02,10,0,0
2023-07-09,6,0,0
2023-07-16,0,0,0
2023-07-23,0,0,0
2023-07-30,0,6,0
2023-08-06,7,0,0
2023-08-13,9,0,0
2023-08-20,0,0,0
2023-08-27,8,0,0
2023-09-03,0,0,0
2023-09-10,9,0,0
2023-09-17,0,0,0
2023-09-24,7,0,0
2023-10-01,0,0,0
2023-10-08,0,0,0
2023-10-15,8,0,0
2023-10-22,7,0,0
2023-10-29,0,0,0
2023-11-05,7,0,0
2023-11-12,11,0,0
2023-11-19,0,0,0
2023-11-26,13,0,0
2023-12-03,6,0,0
2023-12-10,9,0,0
2023-12-17,16,0,0
2023-12-24,19,0,0
2023-12-31,21,0,0
2024-01-07,21,0,0
2024-01-14,28,9,0
2024-01-21,34,11,0
2024-01-28,46,11,0
2024-02-04,73,18,0
2024-02-11,84,20,0
2024-02-18,96,17,0
2024-02-25,100,21,7
2024-03-03,85,16,0
2024-03-10,81,16,0
2024-03-17,66,11,0
2024-03-24,57,11,0
2024-03-31,52,9,1
2024-04-07,50,10,1
2024-04-14,38,10,0
